country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,top2_label,top2_weight,top3_label,top3_weight
AE,L0,W0,L0_W0,0.5016482664353474,1,1,0.0,AE:PV,0.9999999999999999,Asia-Pacific,,,,
AE,L0,W1,L0_W1,0.4763009736481514,1,1,0.05673637628263784,AE:PV,1.0,Asia-Pacific,,,,
AE,L0,W2,L0_W2,0.41961424497510114,1,1,0.16605737368834841,AE:PV,1.0,Asia-Pacific,,,,
AE,L0,W3,L0_W3,0.3187531001209496,1,1,0.31891308653654116,AE:PV,0.9999999999999999,Asia-Pacific,,,,
AE,L1,W0,L1_W0,0.24164650533024498,9,3,0.0,PK:WIND,0.43579454773712667,Asia-Pacific,OM:PV,0.3832975066204961,IR:WIND,0.18090794564238125
AE,L1,W1,L1_W1,0.2188065574863672,9,3,0.05402474821004637,PK:WIND,0.4321741526310546,Asia-Pacific,OM:PV,0.38750233604420276,IR:WIND,0.18032351132474667
AE,L1,W2,L1_W2,0.18259105084649388,9,3,0.1382950182321539,PK:WIND,0.41579771148837336,Asia-Pacific,OM:PV,0.4039795005423939,IR:WIND,0.18022278796923658
AE,L1,W3,L1_W3,0.150270720433797,9,3,0.21249311309380758,OM:PV,0.42333949842260676,Asia-Pacific,PK:WIND,0.3918628177423105,IR:WIND,0.18479768383508666
AE,L2,W0,L2_W0,0.17093065721788497,52,11,0.0,ET:WIND,0.28792791535410583,Asia-Pacific,EG:WIND,0.12647378239458298,EG:PV,0.12180674487470221
AE,L2,W1,L2_W1,0.14992216325730665,52,11,0.05603676839653844,ET:WIND,0.2874232551170361,Asia-Pacific,EG:PV,0.12693685169040136,EG:WIND,0.12252735974819028
AE,L2,W2,L2_W2,0.12277002877957004,52,11,0.1307908402807526,ET:WIND,0.28941759872062284,Asia-Pacific,EG:PV,0.14015721313916862,EG:WIND,0.11351127949835692
AE,L2,W3,L2_W3,0.1095030403460572,52,12,0.16821892749151626,ET:WIND,0.2979008141620421,Asia-Pacific,EG:PV,0.14733515322186877,EG:WIND,0.10554043810801499
