country,region,continent,tau_ms,phi,reach_km,n_partners,uncovered_share,uncovered_share_baseline,migrated_share
AE,Asia-Pacific,Asia,50,0.0,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.2,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.4,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.6,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.8,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,1.0,0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,100,0.0,3143,7,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,100,0.2,3143,7,0.45801553684132207,0.5016482664353474,0.04363272959402531
AE,Asia-Pacific,Asia,100,0.4,3143,7,0.41828022775057183,0.5016482664353474,0.08336803868477556
AE,Asia-Pacific,Asia,100,0.6,3143,7,0.3824789161163504,0.5016482664353474,0.11916935031899702
AE,Asia-Pacific,Asia,100,0.8,3143,7,0.34986606111622587,0.5016482664353474,0.15178220531912154
AE,Asia-Pacific,Asia,100,1.0,3143,7,0.32110599493959424,0.5016482664353474,0.18054227149575308
AE,Asia-Pacific,Asia,150,0.0,6714,27,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,150,0.2,6714,27,0.43587228472496337,0.5016482664353474,0.06577598171038394
AE,Asia-Pacific,Asia,150,0.4,6714,27,0.374566698657437,0.5016482664353474,0.12708156777791038
AE,Asia-Pacific,Asia,150,0.6,6714,27,0.3176286823200686,0.5016482664353474,0.18401958411527886
AE,Asia-Pacific,Asia,150,0.8,6714,27,0.26466828182164115,0.5016482664353474,0.2369799846137062
AE,Asia-Pacific,Asia,150,1.0,6714,27,0.21690769078699787,0.5016482664353474,0.2847405756483495
AE,Asia-Pacific,Asia,200,0.0,10286,31,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,200,0.2,10286,31,0.4358722847249635,0.5016482664353474,0.06577598171038394
AE,Asia-Pacific,Asia,200,0.4,10286,31,0.374566698657437,0.5016482664353474,0.12708156777791038
AE,Asia-Pacific,Asia,200,0.6,10286,31,0.3176286823200686,0.5016482664353474,0.18401958411527888
AE,Asia-Pacific,Asia,200,0.8,10286,31,0.26466828182164115,0.5016482664353474,0.2369799846137062
AE,Asia-Pacific,Asia,200,1.0,10286,31,0.21690769078699787,0.5016482664353474,0.2847405756483495
AE,Asia-Pacific,Asia,300,0.0,17429,38,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,300,0.2,17429,38,0.4122577839163975,0.5016482664353474,0.08939048251894986
AE,Asia-Pacific,Asia,300,0.4,17429,38,0.3264146260742343,0.5016482664353474,0.17523364036111308
AE,Asia-Pacific,Asia,300,0.6,17429,38,0.24438825365728428,0.5016482664353474,0.2572600127780631
AE,Asia-Pacific,Asia,300,0.8,17429,38,0.16616532368208836,0.5016482664353474,0.335482942753259
AE,Asia-Pacific,Asia,300,1.0,17429,38,0.09410412668232157,0.5016482664353474,0.4075441397530258
AE,Asia-Pacific,Asia,500,0.0,31714,38,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,500,0.2,31714,38,0.4122577839163975,0.5016482664353474,0.08939048251894986
AE,Asia-Pacific,Asia,500,0.4,31714,38,0.3264146260742343,0.5016482664353474,0.17523364036111308
AE,Asia-Pacific,Asia,500,0.6,31714,38,0.24438825365728428,0.5016482664353474,0.2572600127780631
AE,Asia-Pacific,Asia,500,0.8,31714,38,0.16616532368208836,0.5016482664353474,0.335482942753259
AE,Asia-Pacific,Asia,500,1.0,31714,38,0.09410412668232157,0.5016482664353474,0.4075441397530258
AF,Asia-Pacific,Asia,50,0.0,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,50,0.2,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,50,0.4,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,50,0.6,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,50,0.8,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,50,1.0,0,0,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,100,0.0,3143,6,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,100,0.2,3143,6,0.4614935800258218,0.49749529089856886,0.03600171087274697
AF,Asia-Pacific,Asia,100,0.4,3143,6,0.42959117386634504,0.49749529089856886,0.06790411703222377
AF,Asia-Pacific,Asia,100,0.6,3143,6,0.40012725695307266,0.49749529089856886,0.09736803394549617
AF,Asia-Pacific,Asia,100,0.8,3143,6,0.3751830407124868,0.49749529089856886,0.12231225018608194
AF,Asia-Pacific,Asia,100,1.0,3143,6,0.35376190929166107,0.49749529089856886,0.14373338160690777
AF,Asia-Pacific,Asia,150,0.0,6714,31,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,150,0.2,6714,31,0.4351680859216908,0.49749529089856886,0.06232720497687797
AF,Asia-Pacific,Asia,150,0.4,6714,31,0.3775684676942603,0.49749529089856886,0.11992682320430847
AF,Asia-Pacific,Asia,150,0.6,6714,31,0.32360936897601045,0.49749529089856886,0.17388592192255828
AF,Asia-Pacific,Asia,150,0.8,6714,31,0.2736378183123301,0.49749529089856886,0.22385747258623873
AF,Asia-Pacific,Asia,150,1.0,6714,31,0.22781294093070084,0.49749529089856886,0.26968234996786794
AF,Asia-Pacific,Asia,200,0.0,10286,32,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,200,0.2,10286,32,0.4351680859216908,0.49749529089856886,0.06232720497687797
AF,Asia-Pacific,Asia,200,0.4,10286,32,0.3775684676942603,0.49749529089856886,0.11992682320430847
AF,Asia-Pacific,Asia,200,0.6,10286,32,0.32360936897601045,0.49749529089856886,0.17388592192255828
AF,Asia-Pacific,Asia,200,0.8,10286,32,0.2736378183123301,0.49749529089856886,0.22385747258623873
AF,Asia-Pacific,Asia,200,1.0,10286,32,0.22781294093070084,0.49749529089856886,0.26968234996786794
AF,Asia-Pacific,Asia,300,0.0,17429,39,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,300,0.2,17429,39,0.41765519693601777,0.49749529089856886,0.07984009396255098
AF,Asia-Pacific,Asia,300,0.4,17429,39,0.3408489907523302,0.49749529089856886,0.15664630014623865
AF,Asia-Pacific,Asia,300,0.6,17429,39,0.26639849068487376,0.49749529089856886,0.23109680021369503
AF,Asia-Pacific,Asia,300,0.8,17429,39,0.19468344443351288,0.49749529089856886,0.30281184646505593
AF,Asia-Pacific,Asia,300,1.0,17429,39,0.12586695731082065,0.49749529089856886,0.37162833358774816
AF,Asia-Pacific,Asia,500,0.0,31714,39,0.49749529089856886,0.49749529089856886,0.0
AF,Asia-Pacific,Asia,500,0.2,31714,39,0.41765519693601777,0.49749529089856886,0.07984009396255098
AF,Asia-Pacific,Asia,500,0.4,31714,39,0.3408489907523302,0.49749529089856886,0.15664630014623865
AF,Asia-Pacific,Asia,500,0.6,31714,39,0.26639849068487376,0.49749529089856886,0.23109680021369503
AF,Asia-Pacific,Asia,500,0.8,31714,39,0.19468344443351288,0.49749529089856886,0.30281184646505593
AF,Asia-Pacific,Asia,500,1.0,31714,39,0.12586695731082065,0.49749529089856886,0.37162833358774816
AR,Latin America,Americas,50,0.0,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,50,0.2,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,50,0.4,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,50,0.6,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,50,0.8,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,50,1.0,0,0,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,100,0.0,3143,1,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,100,0.2,3143,1,0.24142557164514783,0.26474359559921723,0.023318023954069334
AR,Latin America,Americas,100,0.4,3143,1,0.22930991179657306,0.26474359559921723,0.03543368380264417
AR,Latin America,Americas,100,0.6,3143,1,0.22214284199128936,0.26474359559921723,0.04260075360792783
AR,Latin America,Americas,100,0.8,3143,1,0.2178907292352289,0.26474359559921723,0.04685286636398827
AR,Latin America,Americas,100,1.0,3143,1,0.2162172143327503,0.26474359559921723,0.04852638126646693
AR,Latin America,Americas,150,0.0,6714,2,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,150,0.2,6714,2,0.22589142563567888,0.26474359559921723,0.03885216996353832
AR,Latin America,Americas,150,0.4,6714,2,0.2008850492073975,0.26474359559921723,0.06385854639181973
AR,Latin America,Americas,150,0.6,6714,2,0.184556672749378,0.26474359559921723,0.08018692284983917
AR,Latin America,Americas,150,0.8,6714,2,0.17457977658770463,0.26474359559921723,0.09016381901151256
AR,Latin America,Americas,150,1.0,6714,2,0.17064433751429053,0.26474359559921723,0.09409925808492664
AR,Latin America,Americas,200,0.0,10286,8,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,200,0.2,10286,8,0.22201962040707915,0.26474359559921723,0.04272397519213804
AR,Latin America,Americas,200,0.4,10286,8,0.19428822287471265,0.26474359559921723,0.07045537272450457
AR,Latin America,Americas,200,0.6,10286,8,0.17605014593737822,0.26474359559921723,0.08869344966183898
AR,Latin America,Americas,200,0.8,10286,8,0.1648140301273154,0.26474359559921723,0.09992956547190177
AR,Latin America,Americas,200,1.0,10286,8,0.1604062583881775,0.26474359559921723,0.1043373372110397
AR,Latin America,Americas,300,0.0,17429,34,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,300,0.2,17429,34,0.21420118067554275,0.26474359559921723,0.05054241492367444
AR,Latin America,Americas,300,0.4,17429,34,0.17886567096903805,0.26474359559921723,0.08587792463017915
AR,Latin America,Americas,300,0.6,17429,34,0.15452823767667279,0.26474359559921723,0.11021535792254444
AR,Latin America,Americas,300,0.8,17429,34,0.1393323099797174,0.26474359559921723,0.12541128561949977
AR,Latin America,Americas,300,1.0,17429,34,0.13327841123458553,0.26474359559921723,0.13146518436463167
AR,Latin America,Americas,500,0.0,31714,39,0.26474359559921723,0.26474359559921723,0.0
AR,Latin America,Americas,500,0.2,31714,39,0.21400634688158152,0.26474359559921723,0.05073724871763569
AR,Latin America,Americas,500,0.4,31714,39,0.1784271648240456,0.26474359559921723,0.08631643077517162
AR,Latin America,Americas,500,0.6,31714,39,0.1538670043994025,0.26474359559921723,0.11087659119981469
AR,Latin America,Americas,500,0.8,31714,39,0.13844636072718605,0.26474359559921723,0.12629723487203112
AR,Latin America,Americas,500,1.0,31714,39,0.13224567201450127,0.26474359559921723,0.1324979235847159
AT,Europe,EurAfrMENA,50,0.0,0,0,0.44505568214972385,0.44505568214972385,0.0
