country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
AE,Asia-Pacific,Asia,D0,0.0,0,0.2,0.5016482664353474,0.5016482664353474,0.5016482664353474,0.0,0.0
AE,Asia-Pacific,Asia,D1,500.0,0,0.2,0.5016482664353474,0.5016482664353474,0.5016482664353474,0.0,0.0
AE,Asia-Pacific,Asia,D2,3000.0,0,0.2,0.4595056958407514,0.5016482664353474,0.5016482664353474,0.09145054075634258,0.0
AE,Asia-Pacific,Asia,D3,,0,0.2,0.3187531001209496,0.5016482664353474,0.5016482664353474,0.3189130865365411,0.0
AE,Asia-Pacific,Asia,D0,0.0,1,0.2,0.49510798490756835,0.5016482664353474,0.49510798490756835,0.0,0.014445731522530305
AE,Asia-Pacific,Asia,D1,500.0,1,0.2,0.49510798490756835,0.5016482664353474,0.49510798490756835,0.0,0.014445731522530305
AE,Asia-Pacific,Asia,D2,3000.0,1,0.2,0.4577403792101418,0.5016482664353474,0.49510798490756835,0.08214135633499746,0.014445731522530305
AE,Asia-Pacific,Asia,D3,,1,0.2,0.32237826288326427,0.5016482664353474,0.49510798490756835,0.3106955165670724,0.014445731522530305
AE,Asia-Pacific,Asia,D0,0.0,3,0.2,0.48626980992548674,0.5016482664353474,0.48626980992548674,0.0,0.037382050127693356
AE,Asia-Pacific,Asia,D1,500.0,3,0.2,0.48626980992548674,0.5016482664353474,0.48626980992548674,0.0,0.037382050127693356
AE,Asia-Pacific,Asia,D2,3000.0,3,0.2,0.44891358621450306,0.5016482664353474,0.48626980992548674,0.08126135317348519,0.037382050127693356
AE,Asia-Pacific,Asia,D3,,3,0.2,0.3165992021579593,0.5016482664353474,0.48626980992548674,0.3046300953103042,0.037382050127693356
AE,Asia-Pacific,Asia,D0,0.0,6,0.2,0.4748834920639532,0.5016482664353474,0.4748834920639532,0.0,0.06502313139923965
AE,Asia-Pacific,Asia,D1,500.0,6,0.2,0.4748834920639532,0.5016482664353474,0.4748834920639532,0.0,0.06502313139923965
AE,Asia-Pacific,Asia,D2,3000.0,6,0.2,0.43418881146235966,0.5016482664353474,0.4748834920639532,0.0860657327402089,0.06502313139923965
AE,Asia-Pacific,Asia,D3,,6,0.2,0.30525058315464937,0.5016482664353474,0.4748834920639532,0.2982971763884244,0.06502313139923965
AE,Asia-Pacific,Asia,D0,0.0,12,0.2,0.42712575899183064,0.5016482664353474,0.42712575899183064,0.0,0.09421697487797381
AE,Asia-Pacific,Asia,D1,500.0,12,0.2,0.42712575899183064,0.5016482664353474,0.42712575899183064,0.0,0.09421697487797381
AE,Asia-Pacific,Asia,D2,3000.0,12,0.2,0.3839348301888075,0.5016482664353474,0.42712575899183064,0.08395451307686375,0.09421697487797381
AE,Asia-Pacific,Asia,D3,,12,0.2,0.2633295781152904,0.5016482664353474,0.42712575899183064,0.2714854073984338,0.09421697487797381
AE,Asia-Pacific,Asia,D0,0.0,24,0.2,0.4200880029211219,0.5016482664353474,0.4200880029211219,0.0,0.08301531875443272
AE,Asia-Pacific,Asia,D1,500.0,24,0.2,0.4200880029211219,0.5016482664353474,0.4200880029211219,0.0,0.08301531875443272
