country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
AE,Asia-Pacific,Asia,50,0.0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.2,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.4,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.6,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,0.8,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,50,1.0,0,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,100,0.0,3143,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,100,0.2,3143,0.48156092450567445,0.5016482664353474,0.045398632071723476
AE,Asia-Pacific,Asia,100,0.4,3143,0.4681661215731178,0.5016482664353474,0.07382029882277932
AE,Asia-Pacific,Asia,100,0.6,3143,0.4595056958407514,0.5016482664353474,0.09145054075634258
AE,Asia-Pacific,Asia,100,0.8,3143,0.4538793277911165,0.5016482664353474,0.10259067112921953
AE,Asia-Pacific,Asia,100,1.0,3143,0.450331611847524,0.5016482664353474,0.10950604769875989
AE,Asia-Pacific,Asia,150,0.0,6714,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,150,0.2,6714,0.4527594841118028,0.5016482664353474,0.10478197402979095
AE,Asia-Pacific,Asia,150,0.4,6714,0.402884071028909,0.5016482664353474,0.19457181558782868
AE,Asia-Pacific,Asia,150,0.6,6714,0.3541469191674684,0.5016482664353474,0.2701358147552984
AE,Asia-Pacific,Asia,150,0.8,6714,0.3067673159670383,0.5016482664353474,0.33455829035499113
AE,Asia-Pacific,Asia,150,1.0,6714,0.2644414015329958,0.5016482664353474,0.3863659340174884
AE,Asia-Pacific,Asia,200,0.0,10286,0.5016482664353474,0.5016482664353474,0.0
AE,Asia-Pacific,Asia,200,0.2,10286,0.45256677797154415,0.5016482664353474,0.1051582970582173
AE,Asia-Pacific,Asia,200,0.4,10286,0.40217600092668865,0.5016482664353474,0.19574829547073008
AE,Asia-Pacific,Asia,200,0.6,10286,0.3523115731026637,0.5016482664353474,0.27277590911453625
AE,Asia-Pacific,Asia,200,0.8,10286,0.30326969713206126,0.5016482664353474,0.33904529457288163
