country,x_peak,y_solar,reach,phase_lag,migrated_share
AE,21.0,12.63668173143022,8.363318268569778,8.0,0.4075441397530258
AF,21.0,12.61788926332337,8.38211073667663,9.0,0.37162833358774816
AR,21.0,11.831280034749705,9.168719965250297,7.0,0.1324979235847159
AT,20.0,12.516000442869132,7.483999557130868,8.0,0.25925908186897456
AU,14.0,12.689403903162553,1.3105960968374468,1.0,0.11988541250292199
BD,23.0,12.972959240023552,10.027040759976448,11.0,0.46229045120102114
BE,19.0,12.774123200785928,6.2258767992140704,7.0,0.12065184925331839
BF,20.0,13.407746724663152,6.592253275336848,7.0,0.35153328232698
BG,14.0,12.793295233232033,1.2067047667679667,1.0,0.1902210020925621
BH,21.0,12.743608973105804,8.256391026894196,9.0,0.4425700785637749
BI,13.0,12.74499867618244,0.25500132381755947,1.0,0.3610536946746484
BO,20.0,12.180528323147692,7.819471676852309,8.0,0.35419944474534376
BR,20.0,13.205706180457817,6.794293819542183,8.0,0.08054451123269055
BY,20.0,12.962101557319286,7.037898442680714,8.0,0.39648822668318023
CA,14.0,11.585433891168726,2.4145661088312735,1.0,0.09561508583629824
CH,19.0,13.023282600739403,5.976717399260597,7.0,0.36678101084192755
CL,20.0,12.02488323191969,7.975116768080312,8.0,0.16289356328726431
CN,22.0,12.691425893836412,9.30857410616359,9.0,0.05543177329855029
CO,15.0,12.18959519288822,2.81040480711178,3.0,0.34326906747138763
CR,20.0,12.517088675705192,7.4829113242948075,7.0,0.3930834176142487
CU,14.0,12.569998209057417,1.4300017909425833,1.0,0.1611466073585697
CV,15.0,13.393889468484414,1.6061105315155864,3.0,0.28440751883495
CZ,20.0,13.078534531981262,6.921465468018738,8.0,0.37898831746868106
DE,20.0,12.573596708257128,7.426403291742872,8.0,0.11790758739027615
DK,20.0,12.633093880621308,7.36690611937869,7.0,0.12502638902718755
DO,20.0,11.83572363857649,8.16427636142351,8.0,0.19508159714837991
DZ,21.0,13.205063135464648,7.794936864535352,9.0,0.3978600690578544
EC,20.0,12.341102436239959,7.658897563760043,8.0,0.3638501719224397
EE,20.0,12.451759051861492,7.548240948138506,7.0,0.20304389381552387
EG,22.0,12.860074813887637,9.139925186112364,9.0,0.12855319470648752
ES,15.0,12.732572181011022,2.2674278189889776,2.0,0.11787311101626063
ET,20.0,12.775104757793475,7.224895242206525,-2.0,0.19370778604453595
FI,20.0,12.56972689309976,7.430273106900238,5.0,0.21407253556707953
FJ,11.0,12.55242199836772,-1.5524219983677199,-2.0,0.2625580156551935
FR,19.0,12.704633307994476,6.295366692005523,7.0,0.11623119675953578
GB,20.0,12.714124658289487,7.285875341710515,7.0,0.10971740971486289
GF,14.0,11.899428181191986,2.100571818808014,2.0,0.3173074889967854
GH,20.0,13.254323843515188,6.745676156484812,7.0,0.3738143338801885
GR,21.0,12.998252981267337,8.001747018732665,8.0,0.2578152164119253
GT,15.0,12.181177502621006,2.818822497378994,3.0,0.26234819807080234
HN,21.0,12.141954211369681,8.85804578863032,9.0,0.22320744446727211
HU,20.0,13.031882964568968,6.968117035431032,8.0,0.38656102619254795
ID,22.0,13.144767742750268,8.855232257249732,9.0,0.26733546640762074
IE,19.0,12.966668671654002,6.033331328345998,7.0,0.15553008786806571
IL,14.0,12.994247127783115,1.0057528722168847,2.0,0.3173070769207377
IN,21.0,12.381994313381039,8.618005686618961,9.0,0.12113007525404804
IR,21.0,12.868820766006785,8.131179233993215,7.0,0.2335084520021446
IT,15.0,13.078732049214944,1.9212679507850563,3.0,0.2588118101742835
JM,21.0,12.52266524458089,8.477334755419108,9.0,0.3189299951438528
JO,22.0,12.83626500164123,9.16373499835877,10.0,0.43738403947557053
JP,22.0,13.398845069376275,8.601154930623725,10.0,0.2521350272003602
KE,19.0,12.375092671229417,6.624907328770583,9.0,0.1870157304774635
KH,21.0,13.274109605437296,7.725890394562704,9.0,0.42188753500607806
KR,21.0,13.397681477854526,7.602318522145474,9.0,0.26799851545454123
KW,22.0,12.693908075794024,9.306091924205976,10.0,0.469156045151281
KZ,22.0,12.81412333634705,9.185876663652948,9.0,0.39533060258590674
LC,21.0,11.991157376451662,9.00884262354834,8.0,0.3496656195863183
LK,21.0,12.511418960367433,8.488581039632567,9.0,0.1618560680933259
LY,23.0,12.586534170055003,10.413465829944997,11.0,0.12775648533252937
MA,20.0,13.284702194198195,6.715297805801804,7.0,0.20524369794680278
