year,perturbation,scenario,mean_uncovered_share,global_annual_unmet_gwh,global_storage_cost_musd_yr_mid,global_storage_cost_usd_yr_low,global_fleet_gw,ai_share,capex_year_used
2025,P0_baseline,L0_W0,0.39691898053187524,286157.94517649437,41276.672161134185,29341.248885625508,82.3,0.2,2025
2025,P0_baseline,L0_W1,0.3731154523634992,268996.83915056003,38801.27925559014,27581.632241925527,82.3,0.2,2025
2025,P0_baseline,L0_W2,0.3260837650370104,235089.43823590258,33910.32761513427,24104.931678227975,82.3,0.2,2025
2025,P0_baseline,L0_W3,0.25628077163110835,184765.1097459043,26651.32661996808,18944.918922627916,82.3,0.2,2025
2025,P0_baseline,L1_W0,0.26802314498297747,193230.75032918766,27872.447601860298,19812.944680840454,82.3,0.2,2025
2025,P0_baseline,L1_W1,0.2453820691101548,176907.71196082787,25517.941236542207,18139.259433204705,82.3,0.2,2025
2025,P0_baseline,L1_W2,0.20759397692521298,149664.46247627845,21588.25591229176,15345.868660544744,82.3,0.2,2025
2025,P0_baseline,L1_W3,0.1686808193405142,121610.09934190504,17541.572011648273,12469.310225147568,82.3,0.2,2025
2025,P0_baseline,L2_W0,0.18572478965082817,133897.91564918528,19314.020318051287,13729.243358614774,82.3,0.2,2025
2025,P0_baseline,L2_W1,0.16426273876445263,118424.8929867546,17082.1239316517,12142.714602017473,82.3,0.2,2025
2025,P0_baseline,L2_W2,0.13434528033795912,96855.96116909094,13970.926977275854,9931.140863364762,82.3,0.2,2025
2025,P0_baseline,L2_W3,0.11586919172471781,83535.66203555184,12049.548837367067,8565.341944634421,82.3,0.2,2025
2025,P0_baseline,L3_W0,0.08041316685893446,57973.71182061508,8362.381464920309,5944.343450967449,82.3,0.2,2025
2025,P0_baseline,L3_W1,0.06381448848405734,46006.92784360417,6636.240264341241,4717.327416820883,82.3,0.2,2025
2025,P0_baseline,L3_W2,0.054140655014635414,39032.596951491374,5630.232307443676,4002.2133269780356,82.3,0.2,2025
2025,P0_baseline,L3_W3,0.05326023794767382,38397.86202789955,5538.675369074682,3937.1306840410402,82.3,0.2,2025
2025,P1_flatten,L0_W0,0.3971097345202775,286295.468882925,41296.509181354675,29355.34989999911,82.3,0.2,2025
2025,P1_flatten,L0_W1,0.3731559669504463,269026.04806099035,38805.492476436666,27584.62718204534,82.3,0.2,2025
2025,P1_flatten,L0_W2,0.3256557415028953,234780.85552502933,33865.816296801124,24073.291102545383,82.3,0.2,2025
2025,P1_flatten,L0_W3,0.25412933676384597,183214.03708122123,26427.59312258525,18785.879448584703,82.3,0.2,2025
2025,P1_flatten,L1_W0,0.25570059615329954,184346.833395529,26590.99261185047,18902.03089276118,82.3,0.2,2025
