dist_ring,0,1,3,6,12,24,168
D0,41.8,40.7,39.1,37.4,32.5,30.3,28.1
D1,40.5,39.3,37.6,35.7,32.5,30.3,27.6
D2,36.3,35.6,33.9,32.0,28.1,27.1,24.8
D3,26.8,27.3,26.7,24.9,20.5,19.9,19.2
