country,x_peak,y_solar,reach,phase_lag,migrated_share
AE,21.0,13.452197770787372,7.547802229212628,8.0,0.3189130865365411
AF,21.0,13.528016496739992,7.471983503260006,9.0,0.31481985778902905
AR,21.0,9.571058796349174,11.428941203650826,7.0,0.2170785621897537
AT,20.0,12.926356579217911,7.073643420782091,8.0,0.3283851235634296
AU,14.0,12.485103882047799,1.5148961179522011,1.0,0.1966065439898444
BD,23.0,13.765347161881692,9.234652838118308,11.0,0.36709793828157794
BE,19.0,13.031099118197798,5.9689008818022025,7.0,0.20723064848608558
BF,20.0,13.666605472055162,6.33339452794484,7.0,0.31581879431398463
BG,14.0,13.227373977767027,0.7726260222329735,1.0,0.25269266942848395
BH,21.0,13.74256234256402,7.257437657435979,9.0,0.34555770352547643
BI,13.0,13.052258560757924,-0.05225856075792379,1.0,0.30420817322565785
BO,20.0,9.16157428255759,10.838425717442412,8.0,0.3086811734058132
BR,20.0,12.407104678356866,7.592895321643134,8.0,0.16478006103107679
BY,20.0,13.11558022868232,6.884419771317681,8.0,0.35891199373588456
CA,14.0,9.66606609843923,4.333933901560769,1.0,0.1799313200465406
CH,19.0,12.793132417530583,6.2068675824694175,7.0,0.34339631436070595
CL,20.0,10.155543840552813,9.844456159447187,8.0,0.22842253684817382
CN,22.0,12.567640513864868,9.432359486135134,9.0,0.11906452484412004
CO,15.0,9.339252696773357,5.660747303226643,3.0,0.30086466623665997
CR,20.0,9.752468129059178,10.247531870940822,7.0,0.3202405527805185
CU,14.0,11.444332779214987,2.555667220785013,1.0,0.23299531657996356
CV,15.0,12.628126842703846,2.3718731572961538,3.0,0.2913743638124741
CZ,20.0,12.986554983486808,7.013445016513192,8.0,0.34690641047402215
DE,20.0,13.126822783507029,6.873177216492969,8.0,0.2041996264930834
DK,20.0,13.025045752754352,6.974954247245648,7.0,0.213751427479695
DO,20.0,9.75918545049485,10.24081454950515,8.0,0.2598884838192987
DZ,21.0,13.340511525753836,7.659488474246164,9.0,0.33963476948812626
EC,20.0,9.471737772898441,10.528262227101557,8.0,0.31554679723988494
EE,20.0,12.799204340968323,7.200795659031677,7.0,0.29408118000606565
EG,22.0,13.437492036328731,8.562507963671269,9.0,0.2095919797054186
ES,15.0,13.132312675997728,1.8676873240022722,2.0,0.21070169825488258
ET,20.0,13.184791131162601,6.815208868837399,-2.0,0.28336080461117863
FI,20.0,12.795636241384926,7.204363758615074,5.0,0.30037188322066044
FJ,11.0,11.788357002021312,-0.7883570020213124,-2.0,0.3357196244283441
FR,19.0,13.07796336045384,5.92203663954616,7.0,0.2040379507879223
GB,20.0,13.501874358085352,6.498125641914648,7.0,0.18875268019236036
GF,14.0,10.51102382350405,3.4889761764959495,2.0,0.3248305709646
GH,20.0,12.888112775105872,7.111887224894126,7.0,0.31709436341521896
GR,21.0,13.409786758198477,7.590213241801521,8.0,0.28240681303271487
GT,15.0,9.72177868790224,5.2782213120977595,3.0,0.2689546266404694
HN,21.0,9.533059624570127,11.466940375429871,9.0,0.25857999289056355
HU,20.0,12.961637630843498,7.038362369156502,8.0,0.35191504888841335
ID,22.0,13.441089770584675,8.558910229415325,9.0,0.29234265128824627
IE,19.0,13.295529581497448,5.704470418502552,7.0,0.2662946443102763
IL,14.0,13.104622479839442,0.895377520160558,2.0,0.30028891585959816
IN,21.0,12.718878289555278,8.281121710444722,9.0,0.20647837716354667
IR,21.0,12.990373663707711,8.009626336292289,7.0,0.3534582622254961
IT,15.0,13.205544225150586,1.794455774849414,3.0,0.2777850694474958
JM,21.0,9.969965900872502,11.030034099127498,9.0,0.30630155401644144
JO,22.0,13.559618246903849,8.440381753096151,10.0,0.3486410190703153
JP,22.0,13.27226743787086,8.727732562129141,10.0,0.286333856536788
KE,19.0,13.710514196077979,5.28948580392202,9.0,0.24451237285472976
KH,21.0,13.747499551983523,7.252500448016477,9.0,0.3454955598227745
KR,21.0,13.189153556420171,7.810846443579827,9.0,0.3003816740346519
KW,22.0,13.579346097368735,8.420653902631265,10.0,0.3603697846100567
KZ,22.0,13.6369475423806,8.3630524576194,9.0,0.33766585024877416
LC,21.0,9.53456245944621,11.46543754055379,8.0,0.3158499146054479
LK,21.0,12.891200014108758,8.108799985891242,9.0,0.23272501577695442
LY,23.0,13.572203519293573,9.427796480706427,11.0,0.21302826189627197
MA,20.0,14.061843334401551,5.938156665598449,7.0,0.2604017500770215
MG,11.0,13.232614134383901,-2.232614134383901,-1.0,0.28686793562663715
