parameter,variant,country,corner,uncovered_pct,lcoe_elec,lcoe_gen,lcoe_store,lcoe_anc
lambda_inf,low_0.21,AE,national,33.53776786995029,120.62557223416637,78.02985806458297,39.2957141695834,3.2999999999999985
lambda_inf,low_0.21,AE,global,12.514285470334233,107.75854982650229,76.75913851231886,27.699411314183426,3.2999999999999985
lambda_inf,low_0.21,AF,national,33.77167310471895,148.27440250408048,100.73104905293613,44.24335345114436,3.3000000000000007
lambda_inf,low_0.21,AF,global,14.113215424598202,134.10022101755612,97.79221246821213,33.00800854934399,3.300000000000001
lambda_inf,low_0.21,AR,national,26.67669359122359,86.9597203336186,41.76032155390606,41.899398779712584,3.299999999999967
lambda_inf,low_0.21,AR,global,13.674742058172448,78.52230211950958,42.1025874772535,33.119714642256106,3.299999999999967
lambda_inf,low_0.21,AT,national,32.51014266263599,125.03546027457884,73.36704533879715,48.36841493578168,3.2999999999999963
lambda_inf,low_0.21,AT,global,15.983316466315905,116.1673417785268,73.95016745484241,38.91717432368441,3.2999999999999967
lambda_inf,low_0.21,AU,national,23.79737470075664,94.42414836876065,55.66025882945972,35.463889539300936,3.299999999999998
lambda_inf,low_0.21,AU,global,10.741908746875216,85.17739027478869,56.595525559770444,25.281864715018237,3.299999999999998
lambda_inf,low_0.21,BD,national,37.28010075432794,149.58001037135537,96.7122650782439,49.56774529311148,3.299999999999994
lambda_inf,low_0.21,BD,global,15.075903226435736,133.84768402273122,95.28458729416172,35.2630967285695,3.2999999999999945
lambda_inf,low_0.21,BE,national,23.398685128001013,94.40632907867666,48.77938919942937,42.32693987924738,3.2999999999999234
lambda_inf,low_0.21,BE,global,12.893279304481567,86.87947838278058,49.44936112976265,34.13011725301799,3.2999999999999257
lambda_inf,low_0.21,BF,national,34.26468620729168,146.15488010275823,92.16083855719333,50.69404154556489,3.300000000000005
lambda_inf,low_0.21,BF,global,15.346448238443486,132.15545825689992,89.67040919357262,39.18504906332729,3.3000000000000047
lambda_inf,low_0.21,BG,national,31.891598889871155,120.82774215908644,72.48656698751509,45.041175171571346,3.300000000000001
lambda_inf,low_0.21,BG,global,13.548788754020963,112.19915392193782,73.01626459456668,35.882889327371146,3.3000000000000007
lambda_inf,low_0.21,BH,national,35.4159808651349,122.72757437657599,72.4837312205964,46.94384315597961,3.29999999999999
lambda_inf,low_0.21,BH,global,14.113296191929075,108.5549246701299,72.13044246884608,33.124482201283826,3.2999999999999914
lambda_inf,low_0.21,BI,national,39.02816666527577,205.93189184890892,162.09926683229534,40.53262501661355,3.300000000000002
lambda_inf,low_0.21,BI,global,12.935708153981123,185.60947310878242,148.7694042021524,33.54006890662999,3.3000000000000025
lambda_inf,low_0.21,BO,national,38.78024817602176,140.84511409283044,90.68166172606935,46.86345236676109,3.3000000000000025
lambda_inf,low_0.21,BO,global,13.848486668280364,128.1636485242361,87.1841800436291,37.679468480607,3.300000000000004
lambda_inf,low_0.21,BR,national,19.696516315731397,84.70261704002488,46.702945199253065,34.69967184077181,3.300000000000008
lambda_inf,low_0.21,BR,global,10.125602340352453,76.57942657893011,47.077659612104696,26.2017669668254,3.3000000000000074
lambda_inf,low_0.21,BY,national,32.537537609649526,141.1475840988756,86.40737198050654,51.440212118369054,3.3
lambda_inf,low_0.21,BY,global,15.204600216493642,134.10473425880198,87.58855043584548,43.216183822956516,3.3000000000000007
lambda_inf,low_0.21,CA,national,19.717457986261355,96.47653215917465,62.455304381552594,30.72122777762206,3.300000000000005
lambda_inf,low_0.21,CA,global,9.993733437728313,90.43895241576553,63.40549514727852,23.733457268486994,3.3000000000000047
lambda_inf,low_0.21,CH,national,39.759230026291895,174.60234030454492,123.84645354637654,47.45588675816838,3.300000000000014
lambda_inf,low_0.21,CH,global,15.901946583998052,165.96910690698405,122.31890152349827,40.35020538348579,3.3000000000000123
lambda_inf,low_0.21,CL,national,30.910027477669644,100.04400345174358,51.00128571005848,45.74271774168509,3.300000000000002
lambda_inf,low_0.21,CL,global,14.478646768936846,89.08339951551804,51.15589016907368,34.62750934644436,3.300000000000004
lambda_inf,low_0.21,CN,national,15.153340685659208,86.21431177198941,55.92095532925748,26.993356442731933,3.299999999999998
