country,tau_ms,phi,reach_km,year,ob_star,uncovered_share,region,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,perturbation
AE,50,0.0,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.2,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.4,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.6,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.8,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,1.0,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,100,0.0,3143,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,100,0.2,3143,2025,1.1,0.31014769161810357,Asia-Pacific,91.16690388109284,50.841467016846444,3.2999999999999985,145.30837089793928,P_mix
AE,100,0.4,3143,2025,1.1,0.2987166114108606,Asia-Pacific,91.17585709305015,51.476100106561724,3.2999999999999985,145.95195719961188,P_mix
AE,100,0.6,3143,2025,1.1,0.29293635662154116,Asia-Pacific,91.17388227801817,51.87796651659396,3.299999999999999,146.35184879461212,P_mix
AE,100,0.8,3143,2025,1.1,0.2899094767185106,Asia-Pacific,91.17006028120788,52.30843198801185,3.299999999999999,146.77849226921973,P_mix
AE,100,1.0,3143,2025,1.1,0.28874102413106123,Asia-Pacific,91.1692206827393,52.6694187323277,3.299999999999998,147.138639415067,P_mix
AE,150,0.0,6714,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,150,0.2,6714,2025,1.1,0.2887466215950106,Asia-Pacific,90.77691007309573,45.069181838324695,3.299999999999998,139.14609191142043,P_mix
AE,150,0.4,6714,2025,1.1,0.2543461542967115,Asia-Pacific,90.47049156342953,40.447013773859474,3.2999999999999985,134.217505337289,P_mix
AE,150,0.6,6714,2025,1.1,0.2279366489298599,Asia-Pacific,90.27976782757993,40.99182170002982,3.299999999999999,134.57158952760975,P_mix
AE,150,0.8,6714,2025,1.1,0.20986710715143134,Asia-Pacific,90.19868873801335,41.69697646090064,3.2999999999999985,135.19566519891399,P_mix
AE,150,1.0,6714,2025,1.1,0.2019837988562249,Asia-Pacific,90.18528384268461,41.93827400484317,3.2999999999999985,135.42355784752777,P_mix
AE,200,0.0,10286,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,200,0.2,10286,2025,1.1,0.28859773246497733,Asia-Pacific,90.77212995015205,44.94199868578252,3.299999999999999,139.01412863593455,P_mix
AE,200,0.4,10286,2025,1.1,0.2538617597283743,Asia-Pacific,90.45634692683646,40.25380964999923,3.299999999999999,134.0101565768357,P_mix
AE,200,0.6,10286,2025,1.1,0.2270325162276537,Asia-Pacific,90.25849869770019,40.43378757540743,3.299999999999999,133.99228627310762,P_mix
AE,200,0.8,10286,2025,1.1,0.20858362650179849,Asia-Pacific,90.17380642839962,40.779037214675505,3.2999999999999985,134.25284364307512,P_mix
AE,200,1.0,10286,2025,1.1,0.20060935104840194,Asia-Pacific,90.16011871717184,41.42140937681462,3.2999999999999985,134.88152809398647,P_mix
AE,300,0.0,17429,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,300,0.2,17429,2025,1.1,0.2858542502414589,Asia-Pacific,90.7337265606564,43.737980530431564,3.2999999999999985,137.77170709108796,P_mix
AE,300,0.4,17429,2025,1.1,0.24429658426897674,Asia-Pacific,90.32693393552424,34.9493710328504,3.2999999999999985,128.57630496837464,P_mix
AE,300,0.6,17429,2025,1.1,0.20729846344203276,Asia-Pacific,90.02136961796883,25.2210511962495,3.299999999999999,118.54242081421833,P_mix
AE,300,0.8,17429,2025,1.1,0.17906668467682677,Asia-Pacific,89.8676931781519,19.646004161168936,3.299999999999999,112.81369733932084,P_mix
AE,300,1.0,17429,2025,1.1,0.16616373056454692,Asia-Pacific,89.8393146007399,21.338116528630557,3.299999999999998,114.47743112937046,P_mix
AE,500,0.0,31714,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,500,0.2,31714,2025,1.1,0.2858542502414589,Asia-Pacific,90.7337265606564,43.737980530431564,3.2999999999999985,137.77170709108796,P_mix
AE,500,0.4,31714,2025,1.1,0.24429658426897674,Asia-Pacific,90.32693393552424,34.9493710328504,3.2999999999999985,128.57630496837464,P_mix
AE,500,0.6,31714,2025,1.1,0.20729846344203276,Asia-Pacific,90.02136961796883,25.2210511962495,3.299999999999999,118.54242081421833,P_mix
AE,500,0.8,31714,2025,1.1,0.17906668467682677,Asia-Pacific,89.8676931781519,19.646004161168936,3.299999999999999,112.81369733932084,P_mix
AE,500,1.0,31714,2025,1.1,0.16616373056454692,Asia-Pacific,89.8393146007399,21.338116528630557,3.299999999999998,114.47743112937046,P_mix
AF,50,0.0,0,2025,1.1,0.3306886869534125,Asia-Pacific,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548,P_mix
AF,50,0.2,0,2025,1.1,0.3306886869534125,Asia-Pacific,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548,P_mix
