country,local_hour,demand_orig,demand_migrated,portfolio_w0_fit,portfolio_w3_fit
AE,0,0.5216035453157795,0.48526781935237967,0.5142155364852885,0.47862136513545805
AE,1,0.41411605368415955,0.3911029990091937,0.4290635848635853,0.39989760973436345
AE,2,0.3222969545788521,0.30219348530828855,0.33854351253711795,0.3168090966834763
AE,3,0.25324533627359386,0.23540521753823343,0.2675186866241545,0.2505288901575882
AE,4,0.2201525496765072,0.20551015574508794,0.23655132629491912,0.2200837164986838
AE,5,0.23047052360610787,0.21313534191565905,0.24183901603375904,0.22339161998924928
AE,6,0.26853456522606595,0.25062744834723205,0.2715951766994323,0.24861387100151966
AE,7,0.3339463619723813,0.31097108005795865,0.3341885234517004,0.3063854249188742
AE,8,0.44133431047925853,0.397360886598897,0.42557647079409044,0.39107201648073475
AE,9,0.5401357838874822,0.4888860896674759,0.5257163956756442,0.4849437582577899
AE,10,0.6114521081949127,0.563412443204344,0.6050496664140645,0.5609164184213856
AE,11,0.6631927205083584,0.6179918131821831,0.6622998223816978,0.616195794370048
AE,12,0.6851699203050722,0.648865907476127,0.6961353917832689,0.6495268151745937
AE,13,0.6907722748468409,0.6615025712017671,0.712406400355382,0.6671920174701303
AE,14,0.7080499578750747,0.6660069883467024,0.7055745336544134,0.6629969204090234
AE,15,0.7046489614219684,0.6532274374355453,0.6863506524533785,0.6447011292970853
AE,16,0.6965184227988489,0.6398154583850294,0.6719214658543002,0.6302305414466639
AE,17,0.6895734108810206,0.6426820912997143,0.6787830361924019,0.6396522391525584
AE,18,0.6782116319323743,0.6470733150581397,0.6951117693252333,0.6569976138113022
AE,19,0.6966622212078348,0.6693693021646983,0.7139810963157432,0.6749848681100571
AE,20,0.7110223671111475,0.6790149431704161,0.7232635827626848,0.6816137012779038
AE,21,0.7110463641655024,0.6717683795025622,0.707560140723371,0.6651520605334428
AE,22,0.6857480622543178,0.6320337549109645,0.6599396560727672,0.6181540556797016
AE,23,0.6192875173461234,0.569052379727598,0.5940064818011866,0.5536157645945637
AF,0,0.32027721354852107,0.29081592897346936,0.32853053756997047,0.287900683070799
AF,1,0.22574124095998413,0.21682861787303603,0.2671064060396843,0.23813727892572123
AF,2,0.15901072988231854,0.15550492259695156,0.21099862365677335,0.1902474148031596
AF,3,0.12774892256115483,0.12025095358422702,0.16712643503168287,0.14958547848000608
AF,4,0.14955064132092866,0.12415167132288686,0.15166836039809126,0.1332614436777681
AF,5,0.18031020162465342,0.1510865048506312,0.16999778573021407,0.14790713007317405
AF,6,0.22988373948307594,0.198007867221475,0.21719843998219465,0.19060565992858233
AF,7,0.2883764293887741,0.2563119052059458,0.28766780868225994,0.2567921968606183
AF,8,0.38564360240692785,0.3340567534775412,0.36679165297476524,0.32927753261531556
AF,9,0.44481709173548595,0.3948185977659216,0.4364746562967691,0.39047132939134505
AF,10,0.48766855821806876,0.43421122375090954,0.48075931891534346,0.428220322206143
AF,11,0.48958302972316553,0.4420674860875464,0.49611641111592725,0.44049984054894903
AF,12,0.4561654962367778,0.42458076060743427,0.4866759331134141,0.4317078351121659
AF,13,0.47753350658858806,0.4275736801367421,0.47694586435389597,0.42619043182975325
AF,14,0.497767240771261,0.4318706489894577,0.4674862060228965,0.4213624512960374
AF,15,0.48803472688764105,0.42469466927615906,0.4555327258645904,0.40989384511598936
AF,16,0.45524888764278554,0.40805055419108066,0.4477329654241173,0.4013782043089809
AF,17,0.4430158354069881,0.40963109718851726,0.4655551733897607,0.4184493791770413
AF,18,0.4722232291162187,0.4411289427944612,0.5014250430115524,0.45334689855492366
AF,19,0.5033353427132988,0.4713520147249089,0.5334703174471696,0.4831716558795337
AF,20,0.5547181834714067,0.5022107095253655,0.5465728632334671,0.4926607882423208
AF,21,0.572566548727513,0.4931221703303167,0.5285349986620811,0.47201805814417447
AF,22,0.5279344170395625,0.4448343135694669,0.4777024150923498,0.42199778453703835
AF,23,0.43491546140280163,0.3711711843681748,0.403999334848932,0.3532495356330863
AR,0,0.39318800678375043,0.3733205181519846,0.4036512172468072,0.3697350026497138
AR,1,0.28379456617517984,0.2745370525194306,0.3213620130979504,0.29039269901693027
AR,2,0.20724811041467894,0.20321251751180353,0.2585906635115227,0.23228094002778502
AR,3,0.1616980141534488,0.1580986496067535,0.20362103359108372,0.1822665158519277
AR,4,0.14457303915657527,0.14129714283934078,0.1678560963935538,0.14961686356404136
AR,5,0.17128723188999673,0.16650952478024056,0.18881457963327614,0.16992210743257627
AR,6,0.24433564799067375,0.22862278957756718,0.25320972749445586,0.2301253440836152
AR,7,0.3499545013559754,0.30895819901482907,0.33529830819656975,0.30563476372054876
AR,8,0.4424755353577044,0.388601421106543,0.4162075678185271,0.38045080002996007
AR,9,0.5110257925523773,0.45804433862228855,0.487557198767438,0.4492656002052755
AR,10,0.554506962675805,0.5119185312123142,0.546888384679931,0.5087855496508359
AR,11,0.5678121591640197,0.5441988816382809,0.5885199420924117,0.5506025661800493
AR,12,0.5755393991114901,0.5574192326581974,0.6084867355736558,0.569259973294344
AR,13,0.6089649181055377,0.5694554072117246,0.6052250148474422,0.565265635948476
AR,14,0.6257991983375891,0.5770860524355605,0.6063404498694203,0.5679968168213736
AR,15,0.6226210889023167,0.5793775193866213,0.608536251334263,0.5733242756451093
AR,16,0.6093071080500393,0.5745656460315444,0.6071005218117138,0.5750077415186727
AR,17,0.6082640151293783,0.5765580639609531,0.6094266007747083,0.5789623203283659
AR,18,0.6262286328076425,0.5914134427138537,0.625778534848917,0.5927350924274603
AR,19,0.6390575057720673,0.6022265379433271,0.6393093487933255,0.6020640629510348
AR,20,0.644695501549556,0.6011590450638279,0.636462714119518,0.5964661076540844
AR,21,0.6455148825060149,0.584348692901034,0.6109276460022847,0.5712953816543331
AR,22,0.6126600588705358,0.5389829030369645,0.554262224230435,0.517408637068732
AR,23,0.5199206140416439,0.47110436498887537,0.48703971612478647,0.4521516771886147
AT,0,0.2775287562733821,0.2568077599306666,0.2831578616917208,0.26094275469121114
AT,1,0.1993005645470731,0.1839898578522072,0.21422298398782902,0.1984377851012774
AT,2,0.15482098724601154,0.14755735691919145,0.1790761898651244,0.16724018852288913
AT,3,0.1362640697263146,0.13327542212928542,0.16614962711144574,0.15439737017601887
AT,4,0.15650562981875585,0.15128114077289115,0.18421711276041866,0.16765041819077156
AT,5,0.23331473366495334,0.20941589283483167,0.24112387941453836,0.2195478355452362
AT,6,0.35110991298727845,0.3083960316196715,0.336483484325058,0.3097490989624109
AT,7,0.4730738327666538,0.41852726759629943,0.4472055735713734,0.4108398130289972
AT,8,0.5618844003032344,0.5092758711793521,0.5415611667238163,0.4980696063869273
AT,9,0.6047749284905044,0.5671698049397251,0.6094746668741492,0.5632703990534248
AT,10,0.6203243302128952,0.5937263518808418,0.6440688581327939,0.5970008125031165
AT,11,0.6226269490834587,0.5964988906203614,0.6448981988064177,0.598457466364611
AT,12,0.6308533154399214,0.591429685889984,0.628474576423443,0.5854062469093133
AT,13,0.643083865376021,0.5885657063014882,0.6194848535190137,0.5796848439963727
AT,14,0.6497724139092603,0.5923648705426002,0.6267128482899592,0.5875988470512731
AT,15,0.6519951526725631,0.5995043758532052,0.6315956922914853,0.5917622401467931
AT,16,0.6487314767808634,0.6117037440106914,0.6487311815106711,0.6078708332257983
AT,17,0.6522637718865997,0.6294986642862177,0.6788154162035901,0.6378634227515412
AT,18,0.6705467418177145,0.6490378529822565,0.7067757708762672,0.6626820248441918
AT,19,0.7027431143147562,0.6632762985050871,0.7095082584632826,0.661026979016015
AT,20,0.7102125839707673,0.6442515875144386,0.6767983052491618,0.6286271904204993
AT,21,0.6563309269322588,0.5854438850457373,0.6098410586869639,0.5648553843634908
AT,22,0.5336939292107923,0.48820366541351556,0.5126182645432867,0.47260318512824323
AT,23,0.3908425246090012,0.36647183055223265,0.39160308271922395,0.3600890687923568
AU,0,0.2944459669264653,0.2771327587904366,0.3143325297973341,0.2858015588547476
AU,1,0.22263463508400094,0.20897164680274122,0.24131642507448145,0.2190240457225894
AU,2,0.17788889945978567,0.16767129182567708,0.19737796650934966,0.17953265303593005
AU,3,0.15475466389951167,0.1482101097922341,0.18011062734528285,0.16428469209097463
AU,4,0.1583755774556588,0.15621363579058972,0.20197801618891983,0.1830299253322253
AU,5,0.20824563834930554,0.1998351198165867,0.24844717037514993,0.22334179662744666
AU,6,0.29715167950707566,0.2663370460121821,0.29876077063452067,0.2677187216778422
AU,7,0.4014809140980506,0.3454740877020635,0.3630269824781399,0.3265951669896058
AU,8,0.5096599186240115,0.43479944311616914,0.4545472370122153,0.4111750035602154
AU,9,0.586399644683517,0.5157530138291015,0.5476526199751927,0.49809079708686693
AU,10,0.6211817007461474,0.5690427465960148,0.6159631539917645,0.562492423130622
AU,11,0.6370749388382693,0.5954024326956658,0.6536560432628,0.5990144824786213
AU,12,0.6428126050942613,0.600206937705712,0.6530220339261821,0.6002484679432986
AU,13,0.6514933138150792,0.5987353980641265,0.6437144252576503,0.5943953629666975
AU,14,0.665664064077784,0.6015314600434807,0.6381432190110701,0.5933111655287648
AU,15,0.660088591903474,0.6068212598011932,0.6450923959756852,0.6029098369435975
AU,16,0.6462272584728608,0.6098364904698198,0.6565119252612082,0.6137904218731867
AU,17,0.6120108973670456,0.5908832750677171,0.6515023188827094,0.6071387153836876
AU,18,0.6069334721204357,0.5798616922521324,0.6319886897368566,0.5876044162008839
AU,19,0.6254314470981303,0.5783256075884298,0.6166568658563341,0.5715985846230315
AU,20,0.6389772684474622,0.5706589361306207,0.5986027112590762,0.5527037017250088
AU,21,0.6006733389240648,0.5347097956156477,0.5599760077803849,0.5157966134771609
AU,22,0.5024306602978038,0.4614282126004986,0.493585596595016,0.45313673240488916
AU,23,0.3901727575935236,0.36676932126946543,0.4062441206963998,0.37187643372041035
BD,0,0.7053738737650055,0.6112142146908072,0.643149654613916,0.5878056572404092
BD,1,0.5690710528550222,0.5175277983420553,0.550567429729703,0.4989517639096763
BD,2,0.42489485646531255,0.40556208884858075,0.44743234330130466,0.4060581028397534
BD,3,0.30796241433640514,0.30127405800162954,0.3561141674289943,0.32917140104741405
BD,4,0.23227147893665248,0.22388070858331555,0.27767583196032025,0.25917487107011505
BD,5,0.2091283938773515,0.1949205981379825,0.23499182041270247,0.21719997852793077
BD,6,0.23424913762190022,0.21448978962288837,0.2337413864876085,0.21291592477456214
BD,7,0.28460797279255085,0.2541092391359625,0.26956811264620406,0.24328226680795548
BD,8,0.3401822685772958,0.3056581028420415,0.32391014094622994,0.294875044873738
BD,9,0.4008825786216298,0.3635928984187539,0.38575084264785914,0.35608834593411215
BD,10,0.4651067248035137,0.42392088926421284,0.45094982750941126,0.421210807000402
BD,11,0.5106404927595863,0.474390546421499,0.5099845225360274,0.47551684978874553
BD,12,0.5345274802474193,0.5026550861626866,0.5443895235800112,0.5049132182399114
BD,13,0.5137486106302789,0.4915987339707853,0.5520588923729084,0.5079222427814638
BD,14,0.5422094030441083,0.4996688200955124,0.53490137459987,0.4896288139806845
BD,15,0.5514437064678483,0.492909947834588,0.5208475215133047,0.4789464370140055
