scope,topology,price,lcoe_tx,lcoe_gen,lcoe_store,lcoe_anc,lcoe_total
L0,dedicated,ours,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L0,dedicated,lit,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L0,dedicated,lit3,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L0,shared,ours,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L0,shared,lit,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L0,shared,lit3,0.0,149.03067371747562,51.3835065802187,3.3115384615384618,203.7257187592328
L1,dedicated,ours,27.57832116741759,89.28404848626951,36.16568382772452,3.4448150957578267,156.47286857716944
L1,dedicated,lit,11.075262508876891,89.28404848626951,36.16568382772452,3.4448150957578267,139.96980991862875
L1,dedicated,lit3,8.639582655856884,89.28404848626951,36.16568382772452,3.4448150957578267,137.53413006560874
L1,shared,ours,17.58891934245314,89.28404848626951,36.16568382772452,3.4448150957578267,146.483466752205
L1,shared,lit,7.063588018377262,89.28404848626951,36.16568382772452,3.4448150957578267,135.9581354281291
L1,shared,lit3,5.510158561278129,89.28404848626951,36.16568382772452,3.4448150957578267,134.40470597102998
L2,dedicated,ours,57.13880203325723,86.02616899520082,26.673611656086464,3.6151974113593464,173.45378009590385
L2,dedicated,lit,22.946546605191035,86.02616899520082,26.673611656086464,3.6151974113593464,139.26152466783768
L2,dedicated,lit3,17.90012524787762,86.02616899520082,26.673611656086464,3.6151974113593464,134.21510331052426
L2,shared,ours,36.566091546855674,86.02616899520082,26.673611656086464,3.6151974113593464,152.8810696095023
L2,shared,lit,14.684688757759254,86.02616899520082,26.673611656086464,3.6151974113593464,130.99966682040588
L2,shared,lit3,11.455221237104462,86.02616899520082,26.673611656086464,3.6151974113593464,127.7701992997511
L3,dedicated,ours,464.1199354353628,116.86309691902729,5.474844828953453,5.429364459167294,591.8872416425108
L3,dedicated,lit,186.38734712476185,116.86309691902729,5.474844828953453,5.429364459167294,314.15465333190986
L3,dedicated,lit3,145.3969050575191,116.86309691902729,5.474844828953453,5.429364459167294,273.16421126466713
L3,shared,ours,390.61848129552243,116.86309691902729,5.474844828953453,5.429364459167294,518.3857875026705
L3,shared,lit,156.86967291823123,116.86309691902729,5.474844828953453,5.429364459167294,284.63697912537924
L3,shared,lit3,122.37077940933868,116.86309691902729,5.474844828953453,5.429364459167294,250.1380856164867
