year,perturbation,storage_scenario,fleet_model,global_storage_bill_busd,ldes_energy_share,fleet_gw,lambda_inf
2025,P_mix,Optimistic,growing_central,42.12977902949625,1.0,82.3,0.13
2025,P_mix,Optimistic,growing_high,49.552401094231314,1.0,96.8,0.13
2026,P0_baseline,Conservative,frozen,78.7833680816486,1.0,109.63999999999999,0.1656
2026,P0_baseline,Conservative,growing_low,71.885152707845,1.0,100.03999999999999,0.1656
2026,P0_baseline,Conservative,growing_central,78.7833680816486,1.0,109.63999999999999,0.1656
2026,P0_baseline,Conservative,growing_high,98.4720244610464,1.0,137.04,0.1656
2026,P0_baseline,Central,frozen,61.729139351757986,1.0,109.63999999999999,0.1656
2026,P0_baseline,Central,growing_low,56.32418005061902,1.0,100.03999999999999,0.1656
2026,P0_baseline,Central,growing_central,61.729139351757986,1.0,109.63999999999999,0.1656
2026,P0_baseline,Central,growing_high,77.15579402375882,1.0,137.04,0.1656
2026,P0_baseline,Optimistic,frozen,53.825960184247684,1.0,109.63999999999999,0.1656
2026,P0_baseline,Optimistic,growing_low,49.11299759970939,1.0,100.03999999999999,0.1656
2026,P0_baseline,Optimistic,growing_central,53.825960184247684,1.0,109.63999999999999,0.1656
2026,P0_baseline,Optimistic,growing_high,67.27754089428404,1.0,137.04,0.1656
2026,P1_flatten,Conservative,frozen,76.04538366327344,1.0,109.63999999999999,0.1656
2026,P1_flatten,Conservative,growing_low,69.38690424729911,1.0,100.03999999999999,0.1656
2026,P1_flatten,Conservative,growing_central,76.04538366327344,1.0,109.63999999999999,0.1656
2026,P1_flatten,Conservative,growing_high,95.04979366303351,1.0,137.04,0.1656
2026,P1_flatten,Central,frozen,58.899719318585284,1.0,109.63999999999999,0.1656
2026,P1_flatten,Central,growing_low,53.74250201232462,1.0,100.03999999999999,0.1656
2026,P1_flatten,Central,growing_central,58.899719318585284,1.0,109.63999999999999,0.1656
2026,P1_flatten,Central,growing_high,73.61927704687092,1.0,137.04,0.1656
2026,P1_flatten,Optimistic,frozen,50.95416754909565,1.0,109.63999999999999,0.1656
2026,P1_flatten,Optimistic,growing_low,46.49265707416572,1.0,100.03999999999999,0.1656
2026,P1_flatten,Optimistic,growing_central,50.95416754909565,1.0,109.63999999999999,0.1656
2026,P1_flatten,Optimistic,growing_high,63.68806202962486,1.0,137.04,0.1656
2026,P2_sharpen,Conservative,frozen,79.07457108011826,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Conservative,growing_low,72.15085817999844,1.0,100.03999999999999,0.1656
2026,P2_sharpen,Conservative,growing_central,79.07457108011826,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Conservative,growing_high,98.8360016492102,1.0,137.04,0.1656
2026,P2_sharpen,Central,frozen,62.426857185884586,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Central,growing_low,56.96080621010483,1.0,100.03999999999999,0.1656
2026,P2_sharpen,Central,growing_central,62.426857185884586,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Central,growing_high,78.02787767925597,1.0,137.04,0.1656
2026,P2_sharpen,Optimistic,frozen,54.712062942215304,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Optimistic,growing_low,49.92151383381265,1.0,100.03999999999999,0.1656
2026,P2_sharpen,Optimistic,growing_central,54.712062942215304,1.0,109.63999999999999,0.1656
2026,P2_sharpen,Optimistic,growing_high,68.38508852244789,1.0,137.04,0.1656
2026,P2_emp,Conservative,frozen,77.17490246146636,1.0,109.63999999999999,0.1656
2026,P2_emp,Conservative,growing_low,70.41752318720442,1.0,100.03999999999999,0.1656
2026,P2_emp,Conservative,growing_central,77.17490246146636,1.0,109.63999999999999,0.1656
