country,tau_ms,phi,reach_km,year,ob_star,uncovered_share,region,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,perturbation
AE,50,0.0,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.2,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.4,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.6,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,0.8,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,50,1.0,0,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,100,0.0,3143,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,100,0.2,3143,2025,1.1,0.29103006952757754,Asia-Pacific,91.089857533087,49.22500148246866,3.299999999999998,143.61485901555565,P_mix
AE,100,0.4,3143,2025,1.1,0.26048187760241537,Asia-Pacific,91.00236821946557,48.69668059504334,3.299999999999998,142.9990488145089,P_mix
AE,100,0.6,3143,2025,1.1,0.2373350222686912,Asia-Pacific,90.92913793162111,48.35269827020123,3.299999999999999,142.58183620182234,P_mix
AE,100,0.8,3143,2025,1.1,0.2214711256229609,Asia-Pacific,90.87767344641492,48.07377683751446,3.299999999999999,142.25145028392936,P_mix
AE,100,1.0,3143,2025,1.1,0.21463371481716137,Asia-Pacific,90.85609048228895,48.24088459234623,3.2999999999999985,142.39697507463518,P_mix
AE,150,0.0,6714,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,150,0.2,6714,2025,1.1,0.2806159658982518,Asia-Pacific,90.98332651113004,49.069146340140506,3.2999999999999985,143.35247285127053,P_mix
AE,150,0.4,6714,2025,1.1,0.24240645746052936,Asia-Pacific,90.82169765172674,47.375601365349,3.299999999999999,141.49729901707573,P_mix
AE,150,0.6,6714,2025,1.1,0.21389345757407366,Asia-Pacific,90.70014087146065,45.79635290100353,3.299999999999998,139.79649377246417,P_mix
AE,150,0.8,6714,2025,1.1,0.1948574236004492,Asia-Pacific,90.62179714307533,44.554345066716,3.2999999999999985,138.47614220979133,P_mix
AE,150,1.0,6714,2025,1.1,0.18674634389596168,Asia-Pacific,90.59053061309604,44.208631459360106,3.2999999999999985,138.09916207245615,P_mix
AE,200,0.0,10286,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,200,0.2,10286,2025,1.1,0.27978590196429065,Asia-Pacific,90.99224314368223,48.723250477570154,3.2999999999999985,143.0154936212524,P_mix
AE,200,0.4,10286,2025,1.1,0.24050165056253878,Asia-Pacific,90.83802886628806,46.66012370511115,3.299999999999998,140.79815257139919,P_mix
AE,200,0.6,10286,2025,1.1,0.21094747301258837,Asia-Pacific,90.72032949460969,44.95282826555533,3.2999999999999985,138.973157760165,P_mix
AE,200,0.8,10286,2025,1.1,0.1909701238898069,Asia-Pacific,90.64417622666963,44.019849631211066,3.2999999999999985,137.9640258578807,P_mix
AE,200,1.0,10286,2025,1.1,0.18236261002740708,Asia-Pacific,90.61328465753705,43.48394028279177,3.2999999999999985,137.3972249403288,P_mix
AE,300,0.0,17429,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,300,0.2,17429,2025,1.1,0.26333482406730285,Asia-Pacific,90.81941186334863,46.40937431690281,3.2999999999999985,140.52878618025144,P_mix
AE,300,0.4,17429,2025,1.1,0.20854819621715584,Asia-Pacific,90.54147727075294,42.61441798643081,3.2999999999999985,136.45589525718376,P_mix
AE,300,0.6,17429,2025,1.1,0.16557231527926142,Asia-Pacific,90.34002570380838,39.59457132378467,3.2999999999999985,133.23459702759305,P_mix
AE,300,0.8,17429,2025,1.1,0.13600116135410859,Asia-Pacific,90.2151534198462,37.33179806014964,3.299999999999999,130.84695147999582,P_mix
AE,300,1.0,17429,2025,1.1,0.12307425761577748,Asia-Pacific,90.16708102077332,36.31192700927837,3.2999999999999985,129.7790080300517,P_mix
AE,500,0.0,31714,2025,1.1,0.3303548527816178,Asia-Pacific,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195,P_mix
AE,500,0.2,31714,2025,1.1,0.26333482406730285,Asia-Pacific,90.81941186334863,46.40937431690281,3.2999999999999985,140.52878618025144,P_mix
AE,500,0.4,31714,2025,1.1,0.20854819621715584,Asia-Pacific,90.54147727075294,42.61441798643081,3.2999999999999985,136.45589525718376,P_mix
AE,500,0.6,31714,2025,1.1,0.16557231527926142,Asia-Pacific,90.34002570380838,39.59457132378467,3.2999999999999985,133.23459702759305,P_mix
AE,500,0.8,31714,2025,1.1,0.13600116135410859,Asia-Pacific,90.2151534198462,37.33179806014964,3.299999999999999,130.84695147999582,P_mix
AE,500,1.0,31714,2025,1.1,0.12307425761577748,Asia-Pacific,90.16708102077332,36.31192700927837,3.2999999999999985,129.7790080300517,P_mix
AF,50,0.0,0,2025,1.1,0.3306886869534125,Asia-Pacific,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548,P_mix
AF,50,0.2,0,2025,1.1,0.3306886869534125,Asia-Pacific,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548,P_mix
