parameter,variant,corner,median_uncovered_pct,median_lcoe,median_store
P2_mu_sigma,ci_high,global,14.554984669833438,114.51292709065996,37.87091968744214
P2_mu_sigma,ci_high,national,34.604999327831955,126.79644476724167,50.483064967847824
P2_mu_sigma,ci_low,global,14.368681749515869,114.54668138033522,37.76459297182044
P2_mu_sigma,ci_low,national,34.49120290963829,126.66593784538793,50.2514177759295
P2_mu_sigma,mid,global,14.352595187081775,114.44129631320448,37.65771470852856
P2_mu_sigma,mid,national,34.47326796628345,126.58112892770774,50.166739172763386
P3_gamma,default_4.84,global,14.272904079220801,112.7057968594946,34.07833726545147
P3_gamma,default_4.84,national,32.504422784150364,123.90053716202283,45.67725886400805
P3_gamma,stylized_3.0,global,13.919232218084826,113.62163417125774,33.78567254818218
P3_gamma,stylized_3.0,national,32.12096611301899,123.36697072490817,45.44363240213439
P3_gamma,upper_6.0,global,14.54343169284164,112.29579999255776,34.16231378261965
P3_gamma,upper_6.0,national,32.74748776698824,124.16772253503555,45.636821390101844
Pmix_batch,default_0.25,global,13.858880913149074,112.32261609952127,35.20342140164716
Pmix_batch,default_0.25,national,33.28026397033241,124.88079197078355,47.44741089110231
Pmix_batch,more_batch_0.35,global,13.732951463876834,111.4702218613267,34.204602854152526
Pmix_batch,more_batch_0.35,national,32.92315656087841,124.249454404841,46.47883609033519
Pmix_batch,more_shaped_0.15,global,13.999299013384697,112.89688376813706,36.07676021431699
Pmix_batch,more_shaped_0.15,national,33.682465931284575,126.21599944781025,48.47169796846174
lambda_inf,high_0.375,global,14.518231214066516,112.21826878178376,34.149124149768134
lambda_inf,high_0.375,national,32.7250881199258,124.09984079684762,45.62623613345477
lambda_inf,low_0.21,global,13.975930744121122,113.62559845360846,33.782330756900535
lambda_inf,low_0.21,national,32.1826763838816,123.27412468365954,45.63699560092082
lambda_inf,mid_0.308,global,14.272904079220801,112.7057968594946,34.07833726545147
lambda_inf,mid_0.308,national,32.504422784150364,123.90053716202283,45.67725886400805
