country,dist_ring,grace_h,year,np_pv_mw,np_wind_mw,gen_busbar_mwh,ob_star,unmet_mwh,emax_mwh,ppeak_mw,uncovered_share,region,perturbation,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec
AE,D0,0,2025,244.4057045487642,241.58731752838582,875999.9999999995,1.1,271867.4225932098,1247.5207918716535,122.8304700976708,0.3303548527816178,Asia-Pacific,P_mix,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195
AE,D1,0,2025,244.4057045487642,241.58731752838582,875999.9999999995,1.1,271867.4225932098,1247.5207918716535,122.8304700976708,0.3303548527816178,Asia-Pacific,P_mix,91.17618140305159,50.57211144739037,3.2999999999999985,145.04829285044195
AE,D2,0,2025,244.45876407596631,241.5281966100138,875999.9999999998,1.1,237344.9689534584,1158.4165284638846,135.7075389119121,0.29293635662154116,Asia-Pacific,P_mix,91.17388227801817,51.87796651659396,3.299999999999999,146.35184879461212
AE,D3,0,2025,271.0566114953332,211.89187587607861,875999.9999999997,1.1,152883.4099711657,638.6219589838518,59.94014246690218,0.20729846344203276,Asia-Pacific,P_mix,90.02136961796883,25.2210511962495,3.299999999999999,118.54242081421833
AE,D0,6,2025,260.04550649450493,224.16086269649225,875999.9999999998,1.1,232851.17294364484,1146.4546386198676,102.31672471861725,0.28133151765274,Asia-Pacific,P_mix,90.49849236081707,44.075683028088335,3.299999999999999,137.87417538890543
AE,D1,6,2025,260.04550649450493,224.16086269649225,875999.9999999998,1.1,232851.17294364484,1146.4546386198676,102.31672471861725,0.28133151765274,Asia-Pacific,P_mix,90.49849236081707,44.075683028088335,3.299999999999999,137.87417538890543
AE,D2,6,2025,263.86467378327393,219.90540303759897,875999.9999999995,1.1,202811.88523819065,1165.9551925647793,109.40532843735856,0.25030781087897075,Asia-Pacific,P_mix,90.33300383154807,46.04027091344378,3.2999999999999985,139.67327474499183
AE,D3,6,2025,279.8821738873931,202.0581027295347,875999.9999999997,1.1,128769.63663537828,841.3973595069475,46.7943113090595,0.18857048063692214,Asia-Pacific,P_mix,89.63894873147643,25.91982711656027,3.299999999999999,118.85877584803671
AE,D0,24,2025,271.1738451461151,211.76124973853436,875999.9999999995,1.1,181920.70963336548,1095.7331009431691,102.49792692609529,0.22597941525993806,Asia-Pacific,P_mix,90.01628976076913,43.19511004328717,3.2999999999999985,136.5113998040563
AE,D1,24,2025,271.1738451461151,211.76124973853436,875999.9999999995,1.1,181920.70963336548,1095.7331009431691,102.49792692609529,0.22597941525993806,Asia-Pacific,P_mix,90.01628976076913,43.19511004328717,3.2999999999999985,136.5113998040563
AE,D2,24,2025,274.7159331671231,207.81452220817084,875999.9999999995,1.1,159120.2610637373,1034.0838735935865,111.61231109384784,0.1999057756973571,Asia-Pacific,P_mix,89.86280736714322,44.14517561080957,3.2999999999999985,137.3079829779528
AE,D3,24,2025,290.7067854840709,189.9969138655881,875999.9999999995,1.1,93193.73530040852,459.35821936387873,40.034676020582246,0.1421944346172749,Asia-Pacific,P_mix,89.16990694367354,17.441755789965622,3.2999999999999985,109.91166273363916
AE,D0,168,2025,268.39937385552474,214.85266987259985,875999.9999999997,1.1,170614.4946101418,1103.2271191734194,95.97167565603999,0.2129664420115104,Asia-Pacific,P_mix,90.13651051536375,41.84882082658074,3.299999999999999,135.2853313419445
AE,D1,168,2025,268.39937385552474,214.85266987259985,875999.9999999997,1.1,170614.4946101418,1103.2271191734194,95.97167565603999,0.2129664420115104,Asia-Pacific,P_mix,90.13651051536375,41.84882082658074,3.299999999999999,135.2853313419445
AE,D2,168,2025,271.73432795847805,211.1367387346494,875999.9999999995,1.1,149435.0676362759,975.3724441012904,105.04839493408933,0.18862368077982133,Asia-Pacific,P_mix,89.99200345192601,41.58721613215786,3.2999999999999985,134.87921958408387
AE,D3,168,2025,286.4928150568446,194.6922780119988,875999.9999999997,1.1,86167.4917767493,425.53675217072924,36.3405428671325,0.1348640826610299,Asia-Pacific,P_mix,89.35250270752907,15.987994604720004,3.299999999999999,108.64049731224907
AF,D0,0,2025,265.5493545775473,354.7125238194879,876000.0000000002,1.1,273983.40099806397,1251.612992008007,140.6616826578845,0.3306886869534125,Asia-Pacific,P_mix,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548
AF,D1,0,2025,265.5493545775473,354.7125238194879,876000.0000000002,1.1,273983.40099806397,1251.612992008007,140.6616826578845,0.3306886869534125,Asia-Pacific,P_mix,117.32659843592957,54.696934538855935,3.300000000000001,175.32353297478548
AF,D2,0,2025,265.36818307157773,355.0587419142482,876000.0000000002,1.1,248299.5030303843,1163.2541128416087,151.99305642827693,0.301075639093549,Asia-Pacific,P_mix,117.36303337247494,55.66522194222703,3.300000000000001,176.32825531470198
AF,D3,0,2025,283.42999765502947,320.54267936054333,876000.0000000002,1.1,151472.16273806352,626.2943964167374,68.49849262138311,0.20472247712258398,Asia-Pacific,P_mix,113.73066820158074,26.94110554081772,3.300000000000001,143.97177374239845
AF,D0,6,2025,279.54452680090026,327.9678001551391,876000.0000000002,1.1,231748.12041340588,1157.5166143001,111.09699214340355,0.2790200169126046,Asia-Pacific,P_mix,114.51206527206084,46.27119206144172,3.300000000000001,164.08325733350256
AF,D1,6,2025,279.54452680090026,327.9678001551391,876000.0000000002,1.1,231748.12041340588,1157.5166143001,111.09699214340355,0.2790200169126046,Asia-Pacific,P_mix,114.51206527206084,46.27119206144172,3.300000000000001,164.08325733350256
AF,D2,6,2025,281.065484761117,325.06125497642313,876000.0000000003,1.1,215495.04438379512,1127.0740842263817,111.79626307843564,0.26045690677682903,Asia-Pacific,P_mix,114.20618932058547,45.87682026581471,3.3000000000000016,163.38300958640016
