country,tau_ms,phi,tier,year,perturbation,region,ob_star,uncovered_share,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,lcoe_gen_floor,ldes_energy_share,P_li,E_li,P_ld,E_ld
AE,50,0.0,local,2025,P_mix,Asia-Pacific,1.927,0.3303548527816178,159.70571612367127,63.28757615501411,5.780334897755169,228.77362717644053,82.88743763913779,0.37,110.3,495.4,66.8,2312.1
AE,500,1.0,global,2025,P_mix,Asia-Pacific,1.68,0.12307425761577748,137.737279158247,44.500343815420756,5.041008493082929,187.27863146675068,81.97007365524847,0.514,60.9,230.5,66.1,1981.3
AF,50,0.0,local,2025,P_mix,Asia-Pacific,1.72,0.3306886869534125,183.44299698527402,80.31197238223986,5.159630451418774,268.91459981893263,106.66054403266324,0.214,149.9,748.9,51.3,2774.3
AF,500,1.0,global,2025,P_mix,Asia-Pacific,1.441,0.13561786273230378,149.74916105270768,67.23714134069102,4.321934949735746,221.30823734313446,103.94591505492029,0.283,107.6,473.7,64.2,2815.2
AR,50,0.0,local,2025,P_mix,Latin America,1.774,0.26772102643208007,78.67487865701737,75.39156918447038,5.320786786435072,159.38723462792285,44.358972731772674,0.861,23.7,70.8,144.7,4694.8
AR,500,1.0,global,2025,P_mix,Latin America,1.825,0.13207835537287702,82.09901503586306,56.18247238202974,5.475486885401103,143.7569743032939,44.98176148759864,0.743,32.7,107.2,119.9,3044.9
AT,50,0.0,local,2025,P_mix,Europe,2.952,0.32503286462567155,232.22623859995704,136.7425479039463,8.855348274481875,377.8241347783852,78.67321467270389,1.0,-0.0,-0.0,343.2,8251.6
AT,500,1.0,global,2025,P_mix,Europe,2.382,0.1551341939853171,189.3296482027084,89.16836942484166,7.144979197642433,285.6429968251925,79.49483530974298,0.96,4.9,13.5,218.8,5362.6
AU,50,0.0,local,2025,P_mix,Asia-Pacific,2.06,0.24301394083629319,120.95574986789529,45.692760880039394,6.179053092501171,172.82756384043586,58.72538140901512,0.487,64.9,253.4,74.5,1866.8
AU,500,1.0,global,2025,P_mix,Asia-Pacific,1.794,0.10618427893882401,107.6471559635276,31.113623263083895,5.381517718084992,144.14229694469648,60.0093662806895,0.371,68.0,235.2,43.5,986.3
BD,50,0.0,local,2025,P_mix,Asia-Pacific,2.17,0.37004531615512554,219.73407052329134,98.88171475755372,6.511032854165695,325.12681813501075,101.2438773286364,0.074,238.0,1339.2,31.6,1727.6
BD,500,1.0,global,2025,P_mix,Asia-Pacific,1.679,0.14613736771661642,168.2855088385121,68.31102188983536,5.0374589741461495,241.63398970249364,100.22047407365912,0.169,145.3,765.3,35.8,1811.8
BE,50,0.0,local,2025,P_mix,Europe,3.294,0.2392762094147944,171.28631088959477,57.79557504893751,9.881424320679148,238.96331025921143,52.00251664058235,0.677,51.1,156.9,106.7,3061.1
BE,500,1.0,global,2025,P_mix,Europe,2.955,0.12008870360916664,158.25075835280254,49.72030789782324,8.865901442145974,216.83696769277174,53.548111058573205,0.709,38.8,108.3,92.1,2769.5
BF,50,0.0,local,2025,P_mix,Africa/MENA,2.062,0.3464687030066489,200.00030289948265,80.12170169765469,6.185345218179446,286.3073498153168,97.0036251064818,0.261,168.2,767.2,112.5,1836.7
BF,500,1.0,global,2025,P_mix,Africa/MENA,1.998,0.14625025346827653,189.0224161097444,73.47548562942791,5.993062874554753,268.49096461372704,94.62060722521014,0.26,156.5,606.5,111.6,2006.0
BG,50,0.0,local,2025,P_mix,Europe,1.961,0.3238179964540611,152.31056436922015,83.47036353265848,5.882054015849305,241.66298191772796,77.68233543528322,0.828,29.6,107.7,127.4,5462.3
BG,500,1.0,global,2025,P_mix,Europe,1.794,0.13376251087233973,140.77007892941012,61.15607088040207,5.381114501207629,207.30726431101982,78.48006889529215,0.822,22.6,66.7,104.4,3915.6
BH,50,0.0,local,2025,P_mix,Asia-Pacific,2.389,0.3565678083402503,182.89345966939115,102.89557581166878,7.16846571054869,292.9575011916086,76.54083888561624,0.251,166.8,805.8,61.5,4395.1
BH,500,1.0,global,2025,P_mix,Asia-Pacific,2.072,0.13767516766080018,158.50960119287805,54.071646590100556,6.215397395628541,218.79664517860712,76.5081897921902,0.314,99.8,506.0,62.9,1509.7
BI,50,0.0,local,2025,P_mix,Africa/MENA,1.516,0.3856460581753022,260.41482848471776,113.46285731646473,4.548656124051379,378.4263419252339,171.752813171183,0.179,204.1,919.0,60.5,4722.6
BI,500,1.0,global,2025,P_mix,Africa/MENA,1.493,0.12490429915563286,234.96108052660895,80.74492849145831,4.477958887495616,320.1839679055629,157.41172692499794,0.218,135.6,599.9,52.9,3518.3
BO,50,0.0,local,2025,P_mix,Latin America,2.153,0.37828645526423654,212.72103883535758,90.501969478017,6.459545390796851,309.6825537041714,98.79381255146643,0.05,262.8,1399.1,25.5,668.2
BO,500,1.0,global,2025,P_mix,Latin America,1.963,0.13926518617560574,187.56514083863348,69.5249988437225,5.887510017937127,262.9776497002931,95.5744314322303,0.102,196.3,927.1,34.0,1018.1
BR,50,0.0,local,2025,P_mix,Latin America,2.341,0.2048572640861751,114.41563306389577,36.17319043738805,7.023970652262838,157.61279415354664,48.86792900837477,0.506,45.1,178.0,61.7,1569.5
