country,region,local_hour,demand,supply_vre,supply_pv,supply_wind
AE,Asia-Pacific,0,0.5216035453157795,0.0,0.0,0.13345157800564195
AE,Asia-Pacific,1,0.4141160536841595,0.0,0.0,0.12783456435496807
AE,Asia-Pacific,2,0.322296954578852,0.0,0.0,0.1335271638422503
AE,Asia-Pacific,3,0.2532453362735939,0.0,0.0,0.1387541677375076
AE,Asia-Pacific,4,0.22015254967650716,0.0,0.0,0.1498919711555866
AE,Asia-Pacific,5,0.23047052360610787,0.0,0.0,0.16749638127905175
AE,Asia-Pacific,6,0.26853456522606595,0.0034176215498115817,0.0013578285276752628,0.17593534780017347
AE,Asia-Pacific,7,0.3339463619723813,0.10019089252005754,0.039806061055672005,0.1962295043904769
AE,Asia-Pacific,8,0.44133431047925853,0.4268825026264944,0.16960135333405196,0.1939619376479404
AE,Asia-Pacific,9,0.5401357838874822,0.8802536862502147,0.3497267176489295,0.1779408344256673
AE,Asia-Pacific,10,0.6114521081949127,1.2906097898721598,0.5127620964591615,0.15802853555343033
AE,Asia-Pacific,11,0.6631927205083583,1.5959438534071588,0.6340719887032836,0.1447067629706765
AE,Asia-Pacific,12,0.6851699203050722,1.7710221938107973,0.7036309968360613,0.1367437077463447
AE,Asia-Pacific,13,0.690772274846841,1.7988844816495029,0.7147007448237458,0.14378660542061453
AE,Asia-Pacific,14,0.7080499578750747,1.6926659899317582,0.6724999054040204,0.1727834669608516
AE,Asia-Pacific,15,0.7046489614219684,1.4598725745657641,0.5800105715699888,0.2173199915848896
AE,Asia-Pacific,16,0.6965184227988489,1.1036853835562956,0.4384966203919136,0.2564555720873215
AE,Asia-Pacific,17,0.6895734108810208,0.670967148440449,0.26657671775729297,0.3522480914991146
AE,Asia-Pacific,18,0.6782116319323742,0.2607622457137321,0.10360141139392459,0.4001636400186789
AE,Asia-Pacific,19,0.6966622212078349,0.042013614988448585,0.016692101261248652,0.3296335790528656
AE,Asia-Pacific,20,0.7110223671111476,1.994666694095693e-05,7.924854466686509e-06,0.24297664238999997
AE,Asia-Pacific,21,0.7110463641655024,0.0,0.0,0.19518249961605122
AE,Asia-Pacific,22,0.6857480622543178,0.0,0.0,0.17386520465532324
AE,Asia-Pacific,23,0.6192875173461234,0.0,0.0,0.15113036613906694
AF,Asia-Pacific,0,0.32027721354852107,0.0012825990401508756,0.0,0.10642603692173505
AF,Asia-Pacific,1,0.22574124095998413,0.0011025059703183248,0.0,0.09148248005060793
AF,Asia-Pacific,2,0.15901072988231857,0.0010636579203938895,0.0,0.08825899097399909
AF,Asia-Pacific,3,0.12774892256115483,0.0010036318188754944,0.0,0.08327821374239203
AF,Asia-Pacific,4,0.14955064132092866,0.0009967007418769788,0.0,0.08270309475862557
AF,Asia-Pacific,5,0.18031020162465342,0.0026825369396478735,0.0009495083821675548,0.08427676257333257
AF,Asia-Pacific,6,0.22988373948307594,0.05566483285076151,0.031072017788788393,0.09273560788621592
AF,Asia-Pacific,7,0.2883764293887741,0.23755271864439947,0.13468456887237204,0.09232572487288558
AF,Asia-Pacific,8,0.38564360240692785,0.5355418342535695,0.30450902562160403,0.08076337380110116
AF,Asia-Pacific,9,0.444817091735486,0.8329465839770038,0.4740637513343058,0.06000299928163798
AF,Asia-Pacific,10,0.48766855821806876,1.063225374331313,0.6053736681924439,0.04033532792734839
AF,Asia-Pacific,11,0.48958302972316564,1.208344985392588,0.6880353905235977,0.04084696492181614
AF,Asia-Pacific,12,0.4561654962367778,1.2659161775099117,0.7207311688683192,0.05523848508380466
AF,Asia-Pacific,13,0.47753350658858806,1.2267721623851318,0.6982907352531937,0.07601430968996899
AF,Asia-Pacific,14,0.4977672407712611,1.0894144030578266,0.6198740692415237,0.10119352887018396
AF,Asia-Pacific,15,0.48803472688764105,0.8705421274898335,0.49503643077524595,0.12454272546883696
AF,Asia-Pacific,16,0.45524888764278554,0.5877352806751898,0.3336556885647182,0.16591426948328078
AF,Asia-Pacific,17,0.4430158354069881,0.28742099688712663,0.16234714082201637,0.20072406152388864
AF,Asia-Pacific,18,0.47222322911621883,0.08575524891654872,0.047328971948865345,0.22144743100683983
AF,Asia-Pacific,19,0.5033353427132988,0.009072394907233168,0.0035989878094006885,0.22854625573099147
AF,Asia-Pacific,20,0.5547181834714067,0.0024432286615770926,0.0,0.20273143484861625
AF,Asia-Pacific,21,0.5725665487275129,0.0021953769848388634,0.0,0.1821654817534433
AF,Asia-Pacific,22,0.5279344170395625,0.0018718924022226074,0.0,0.1553237478557788
AF,Asia-Pacific,23,0.43491546140280163,0.001523025099564362,0.0,0.1263758356312967
AR,Latin America,0,0.39318800678375043,0.3649694854467853,0.0,0.5032711701108836
AR,Latin America,1,0.28379456617517984,0.3675193328157518,0.0,0.5067872576747878
AR,Latin America,2,0.20724811041467894,0.3579669647509702,0.0,0.49361511138587993
AR,Latin America,3,0.16169801415344884,0.3658487493379944,0.0,0.5044836226172168
AR,Latin America,4,0.1445730391565753,0.36654535060354365,0.0,0.5054441942485259
AR,Latin America,5,0.1712872318899967,0.3633084934564633,0.0,0.5009807611428824
AR,Latin America,6,0.24433564799067375,0.3519924058376881,0.0017306724229751694,0.48438203058167034
AR,Latin America,7,0.3499545013559754,0.36344026469571683,0.055604504692630986,0.4692096839361326
AR,Latin America,8,0.4424755353577044,0.42325542043706227,0.233045579393176,0.44972581190449784
AR,Latin America,9,0.5110257925523773,0.5240636416381509,0.473196754221214,0.45073296616258246
AR,Latin America,10,0.554506962675805,0.6109854983960425,0.6755051295143241,0.4543377801892516
AR,Latin America,11,0.5678121591640197,0.663023448584058,0.8199408195814366,0.44309594365177113
AR,Latin America,12,0.5755393991114901,0.6995893015706636,0.8897579044076946,0.4533981233396668
AR,Latin America,13,0.6089649181055377,0.7137228708547638,0.9038368358837606,0.46479710291199766
AR,Latin America,14,0.6257991983375892,0.7215727022734242,0.8739913485681374,0.4927720758090658
AR,Latin America,15,0.6226210889023168,0.6869618122909839,0.781994268074111,0.4979112698024378
AR,Latin America,16,0.6093071080500393,0.6250822438166737,0.6224368036552538,0.5042717345708995
AR,Latin America,17,0.6082640151293782,0.5452175950480816,0.42279761413747513,0.5088645588261126
AR,Latin America,18,0.6262286328076425,0.4465759515239532,0.1922975753632931,0.5052990209150906
AR,Latin America,19,0.6390575057720673,0.37332629377643783,0.03495509822957532,0.4947079815435675
AR,Latin America,20,0.644695501549556,0.3524669969533855,0.00036547211467207293,0.48582096729129604
AR,Latin America,21,0.6455148825060149,0.35562559804568816,0.0,0.49038650623281227
AR,Latin America,22,0.6126600588705358,0.3622021275475149,0.0,0.49945514848820904
AR,Latin America,23,0.5199206140416439,0.3652099411521987,0.0,0.5036027441987149
AT,Europe,0,0.2775287562733821,0.2633555685073266,0.0,0.3505966931176613
AT,Europe,1,0.19930056454707304,0.25127562349737903,0.0,0.3345150556663044
AT,Europe,2,0.15482098724601154,0.2500602932436902,0.0,0.33289712607246974
AT,Europe,3,0.1362640697263146,0.25248758317747433,0.0,0.33612849812526463
AT,Europe,4,0.15650562981875585,0.25173327829559117,0.0,0.3351243165972657
AT,Europe,5,0.2333147336649533,0.26102265874905756,0.005377875745745718,0.3345916950325484
AT,Europe,6,0.35110991298727845,0.3083749510544546,0.03550996459387166,0.3253560001812206
AT,Europe,7,0.47307383276665377,0.392846088390617,0.09618025836840224,0.2922870529753912
AT,Europe,8,0.5618844003032344,0.5381876345488799,0.18274732304126282,0.2781373929843653
AT,Europe,9,0.6047749284905043,0.7068753072078628,0.28150064341272985,0.26583794804810396
AT,Europe,10,0.6203243302128952,0.861174034923339,0.36937629976962305,0.2604739288844093
AT,Europe,11,0.6226269490834587,0.9629669404414867,0.421226061432136,0.2716216495239115
AT,Europe,12,0.6308533154399214,1.003663332738734,0.44398986508909305,0.27119860154233655
AT,Europe,13,0.643083865376021,1.0028684486685855,0.4399470696585804,0.27983737109709805
AT,Europe,14,0.6497724139092603,0.9100126893207315,0.3879172326645541,0.28101930744003945
AT,Europe,15,0.6519951526725634,0.803761491722208,0.3258805808136528,0.2883704903083995
AT,Europe,16,0.6487314767808634,0.6551235904868491,0.24308288958469118,0.28909067210237055
AT,Europe,17,0.6522637718865997,0.497038431155251,0.15252816941098674,0.2958398900660431
AT,Europe,18,0.6705467418177146,0.37244458132908187,0.07706418450362462,0.31097864499131284
AT,Europe,19,0.7027431143147564,0.2928727228843124,0.02565009431596651,0.32836808739258433
AT,Europe,20,0.7102125839707673,0.2723295786106481,0.0029823022178662962,0.3553902067358096
AT,Europe,21,0.6563309269322588,0.27060521491570344,0.0,0.3602479113222179
AT,Europe,22,0.5336939292107923,0.27849555661985487,0.0,0.3707520663120787
AT,Europe,23,0.3908425246090012,0.2730233115519147,0.0,0.36346704463730106
AU,Asia-Pacific,0,0.2944459669264653,0.19460088704051706,0.0,0.3693506107058699
AU,Asia-Pacific,1,0.22263463508400094,0.19591591531669575,0.0,0.37184652171783233
AU,Asia-Pacific,2,0.17788889945978567,0.1989323401389572,0.0,0.37757166699951145
AU,Asia-Pacific,3,0.1547546638995117,0.2022544712452928,0.0,0.38387703986615496
AU,Asia-Pacific,4,0.15837557745565878,0.20238893500114094,0.0,0.3841322507806355
AU,Asia-Pacific,5,0.20824563834930557,0.2040421332683702,0.0,0.38727000518096294
AU,Asia-Pacific,6,0.2971516795070757,0.21236934981063485,0.0048120435156114505,0.3909874925406819
AU,Asia-Pacific,7,0.4014809140980506,0.28416198004160803,0.05667484435538715,0.3969737791729152
AU,Asia-Pacific,8,0.5096599186240115,0.46518965029779447,0.19345397645164333,0.39698371649445174
AU,Asia-Pacific,9,0.586399644683517,0.6834417495602972,0.36167617835933047,0.3886626477161328
AU,Asia-Pacific,10,0.6211817007461475,0.8635486419953446,0.5053247345526484,0.3696694836299528
AU,Asia-Pacific,11,0.6370749388382693,0.9995178014131796,0.610289798439175,0.3640733350586622
AU,Asia-Pacific,12,0.6428126050942613,1.069706387105419,0.6571903863837522,0.3794798642159435
AU,Asia-Pacific,13,0.6514933138150792,1.082705890854724,0.6629666809675046,0.38964318194672815
AU,Asia-Pacific,14,0.6656640640777839,1.0266818632727206,0.6173411906128853,0.39791789901725594
AU,Asia-Pacific,15,0.660088591903474,0.9137483861888199,0.530273549656312,0.4022785777010445
AU,Asia-Pacific,16,0.6462272584728609,0.7450030124009591,0.4051447359178658,0.39631560198214455
AU,Asia-Pacific,17,0.6120108973670456,0.5456313511324293,0.2555945837499724,0.3935687831268162
AU,Asia-Pacific,18,0.6069334721204357,0.3486490167967546,0.10553270132523956,0.3966423115099695
AU,Asia-Pacific,19,0.6254314470981301,0.2453617677509367,0.0207930503125175,0.4134637034419337
AU,Asia-Pacific,20,0.6389772684474622,0.2204411415333715,0.0014133881581043476,0.41484484084585566
AU,Asia-Pacific,21,0.6006733389240648,0.21202841116063662,0.0,0.40242788375816196
AU,Asia-Pacific,22,0.5024306602978038,0.1998806428469626,0.0,0.37937153641255744
AU,Asia-Pacific,23,0.3901727575935236,0.19600812671015794,0.0,0.3720215380551536
BD,Asia-Pacific,0,0.7053738737650055,0.025079808350851586,0.0,0.16102332094076352
BD,Asia-Pacific,1,0.5690710528550221,0.026228947134940363,0.0,0.16840129371660104
BD,Asia-Pacific,2,0.42489485646531255,0.02721401236973791,0.0,0.17472584266176905
BD,Asia-Pacific,3,0.30796241433640514,0.027285922421672396,0.0,0.17518753659537203
BD,Asia-Pacific,4,0.2322714789366525,0.0265180920191983,0.0,0.1702577301313021
BD,Asia-Pacific,5,0.2091283938773515,0.02602420563443454,0.0,0.16708676388109997
BD,Asia-Pacific,6,0.23424913762190022,0.03790242581732765,0.005041101343450155,0.15987478365063382
BD,Asia-Pacific,7,0.28460797279255085,0.19029343715440714,0.06477064245922011,0.14923318845115474
BD,Asia-Pacific,8,0.34018226857729583,0.5430049656679315,0.20193831341054472,0.1424427352106562
BD,Asia-Pacific,9,0.4008825786216298,0.9520351792463367,0.3621837819280154,0.11509875699104802
BD,Asia-Pacific,10,0.4651067248035136,1.2922139679542233,0.4944239119902623,0.10943754041762667
BD,Asia-Pacific,11,0.5106404927595863,1.5096345172114898,0.5780350533632774,0.12085977139803343
BD,Asia-Pacific,12,0.5345274802474191,1.6100956942861795,0.6158180785041782,0.14021720547741479
BD,Asia-Pacific,13,0.5137486106302789,1.570908019442459,0.5989088191027602,0.168614787017184
BD,Asia-Pacific,14,0.5422094030441084,1.407179016563927,0.5347813969771006,0.17928581345946193
BD,Asia-Pacific,15,0.5514437064678483,1.1389301257009243,0.430352827141166,0.18623817295420073
BD,Asia-Pacific,16,0.539221606660709,0.7980471691034501,0.2985064696043668,0.1808578649904644
BD,Asia-Pacific,17,0.5309841123392133,0.41391573462491976,0.14977191256192351,0.17745428013781078
BD,Asia-Pacific,18,0.5583857103800483,0.12326558870092641,0.03694402086590022,0.17966474355707046
BD,Asia-Pacific,19,0.6108615268407995,0.03056233972606264,0.0015972822940852544,0.1697742501661122
BD,Asia-Pacific,20,0.6532443375578915,0.025276585593775894,0.0,0.16228671676492515
BD,Asia-Pacific,21,0.6847570862894365,0.02469266183671227,0.0,0.1585376712689136
BD,Asia-Pacific,22,0.7321061445162572,0.02545073094574383,0.0,0.16340480596672408
BD,Asia-Pacific,23,0.7422315457262806,0.026333368604883514,0.0,0.16907172515022842
BE,Europe,0,0.17872290034560737,0.2985605731833499,0.0,0.6425019448083326
BE,Europe,1,0.1336026914602207,0.2952804842899947,0.0,0.6354431979997555
BE,Europe,2,0.1100029388510257,0.2931158815853792,0.0,0.6307849759424219
BE,Europe,3,0.10800430535636969,0.28975567063769964,0.0,0.6235538065826131
BE,Europe,4,0.14442454896598897,0.28758037057987157,0.0005657150600531331,0.6178672703693541
BE,Europe,5,0.2266996808616202,0.29331430291597915,0.013154339392964152,0.6078363032666618
BE,Europe,6,0.33288267085300827,0.3153385656126048,0.051053084899017914,0.5878852228912169
BE,Europe,7,0.43207302363057976,0.36841848132050087,0.11447892975613287,0.5894034063249332
BE,Europe,8,0.4918920957376045,0.43649830017795227,0.19484254795021685,0.5931024045019417
BE,Europe,9,0.5153996509971366,0.5076189479749712,0.27987510415616185,0.5950484126019993
BE,Europe,10,0.5126003390006424,0.5644835981547779,0.3513106829512485,0.5904777901405643
BE,Europe,11,0.5115850947776832,0.6037808607748125,0.399683895003866,0.5890847252403322
BE,Europe,12,0.5290631823419867,0.6098792803714838,0.4064414960258505,0.5902000461666643
BE,Europe,13,0.5407262824850438,0.5990592055292184,0.3885866613227221,0.5986438631294584
BE,Europe,14,0.544308234133084,0.5675341335964342,0.34399278419270335,0.6100466746453492
BE,Europe,15,0.5411435838605111,0.5146410068250752,0.2772520631991407,0.6148210999708857
BE,Europe,16,0.5288421708681077,0.4615057463644485,0.2032427503904559,0.6319909703483028
BE,Europe,17,0.5250678621879167,0.4087286241330093,0.12984619818293316,0.6488426588310275
BE,Europe,18,0.5506314970831836,0.3580864084175555,0.06537469893088797,0.6544285632138753
BE,Europe,19,0.5704403973114034,0.3323765631408147,0.0225515823310643,0.6751990373401718
BE,Europe,20,0.5472175829599627,0.3140783675248906,0.0027797725089347526,0.670956473753809
BE,Europe,21,0.47029525845423,0.3139464595306198,0.0,0.6756123511668107
BE,Europe,22,0.35601020724958576,0.31299638537236274,0.0,0.673567792878743
BE,Europe,23,0.2516979873017261,0.30675596906042335,0.0,0.6601384255175929
BF,Africa/MENA,0,0.20311648766245166,0.0,0.0,0.1941432181814072
BF,Africa/MENA,1,0.135245927485812,0.0,0.0,0.20304099572338527
BF,Africa/MENA,2,0.09191902949815976,0.0,0.0,0.21190336116673114
BF,Africa/MENA,3,0.06788619590441816,0.0,0.0,0.22689521798659312
BF,Africa/MENA,4,0.060828604341695736,0.0,0.0,0.22238023748907895
BF,Africa/MENA,5,0.08003470175520787,0.0,0.0,0.21834460323718832
BF,Africa/MENA,6,0.12994027867576755,0.0004761643822103141,0.00040113050524306616,0.21553951804289503
BF,Africa/MENA,7,0.18319915309721707,0.05671915411539306,0.04778136248170251,0.19961774271525673
BF,Africa/MENA,8,0.2421627029305387,0.2440411793684108,0.20558522484558053,0.1602581243803348
BF,Africa/MENA,9,0.29689913817879027,0.46465508573277525,0.39143484113312815,0.11313340109063981
BF,Africa/MENA,10,0.31133193115883523,0.6495734382066818,0.5472138009374148,0.10326582957302426
BF,Africa/MENA,11,0.334554466524236,0.7869339298458351,0.6629290569922305,0.10252117463979044
BF,Africa/MENA,12,0.32480603366983846,0.845597197339465,0.712348179900368,0.09162196289580106
BF,Africa/MENA,13,0.32236007660063953,0.848536572620238,0.7148243690810924,0.07489992047712075
BF,Africa/MENA,14,0.3302931089084849,0.779416198897932,0.6565959684075369,0.05800761039623692
BF,Africa/MENA,15,0.3257023802745717,0.6562664006104939,0.552852087820931,0.05315188476530573
BF,Africa/MENA,16,0.33542271704422544,0.4768363128746166,0.4016965532234061,0.05483355399189789
BF,Africa/MENA,17,0.3335600376260384,0.27121694128811585,0.22847863627340498,0.06254140354244186
BF,Africa/MENA,18,0.32177935646810374,0.08279557692079272,0.06974866840724683,0.080164429762836
BF,Africa/MENA,19,0.3649696700991942,0.003488246505708176,0.002938569400659326,0.09871784702584761
BF,Africa/MENA,20,0.3812807136582044,0.0,0.0,0.11020116919315767
BF,Africa/MENA,21,0.37371800092150403,0.0,0.0,0.13134824731963135
BF,Africa/MENA,22,0.33857712346932045,0.0,0.0,0.15362451812963823
BF,Africa/MENA,23,0.2769645627554123,0.0,0.0,0.17577847482954753
BG,Europe,0,0.35292838933449333,0.0798826363112305,0.0,0.2717194447881787
BG,Europe,1,0.24509704773646568,0.08263362457005075,0.0,0.2810768851134218
BG,Europe,2,0.1785915628039286,0.08994427721058594,0.0,0.30594394719667695
BG,Europe,3,0.14453375727381207,0.09572793585309367,0.0,0.325616964860537
BG,Europe,4,0.14428206722797515,0.1018441211196811,0.0,0.34642106624727514
BG,Europe,5,0.1968030399764866,0.10402901717173621,0.00016646718317711194,0.35245930958172417
BG,Europe,6,0.28667787840361886,0.13984593280752936,0.01392700588917961,0.35908831918772643
BG,Europe,7,0.39199645354498686,0.2686522517603901,0.0673400573739159,0.3500530038129122
BG,Europe,8,0.49642058142618634,0.4894309213344079,0.1612632787852245,0.31471367008195944
BG,Europe,9,0.5664739606437555,0.7782714557437109,0.2809467019227226,0.29522421786446046
BG,Europe,10,0.6034548630661853,1.053078119362863,0.39490260532095167,0.27594891802654425
BG,Europe,11,0.619008847697906,1.2422770591192207,0.4721232894917998,0.27302336001994204
BG,Europe,12,0.6363312618575596,1.3447214632497282,0.5130375308100897,0.2789570170502466
BG,Europe,13,0.6611859140855927,1.3522003455006946,0.5150944968166612,0.28717562955632664
BG,Europe,14,0.681559469979544,1.2664302330946204,0.4796453974417184,0.2922057639159482
BG,Europe,15,0.6809217383190959,1.0987023873517507,0.41158749167680975,0.29145517398811877
BG,Europe,16,0.6668771913645472,0.870711041628539,0.3198291882176223,0.28413627014314163
BG,Europe,17,0.6510073140569744,0.6050345427668192,0.2133095073687725,0.27221248308845053
BG,Europe,18,0.6418557682759848,0.3620734595406211,0.11571313620688098,0.26284989139988224
BG,Europe,19,0.6458997077816085,0.17811849501880347,0.04215482633770329,0.25295177204353153
BG,Europe,20,0.6690350446164867,0.09048565456202427,0.005660635743758777,0.2603952501782961
BG,Europe,21,0.6749348221081743,0.07542686814920167,0.0,0.2565632242751971
BG,Europe,22,0.603119769181234,0.07649634159435673,0.0,0.2602010202237565
BG,Europe,23,0.484285058186086,0.07726332412703174,0.0,0.2628098984176198
BH,Asia-Pacific,0,0.4604779556972238,0.010368987315164608,0.0,0.22730237893276123
BH,Asia-Pacific,1,0.391117707881306,0.010744971771960644,0.0,0.23554447228998743
BH,Asia-Pacific,2,0.31859546908678965,0.011240563462114484,0.0,0.24640851973525016
BH,Asia-Pacific,3,0.2573733749683443,0.012203837868277292,0.0,0.26752481175401166
BH,Asia-Pacific,4,0.21778792498770527,0.01329632026474932,0.0,0.291473519579807
BH,Asia-Pacific,5,0.20645922399321792,0.013824854882510156,0.00010738212330961882,0.29856289428601723
BH,Asia-Pacific,6,0.21430480719832923,0.052653168287769635,0.020529908148310936,0.2945012330654659
BH,Asia-Pacific,7,0.24984382458214327,0.2337739913695696,0.11627226934507055,0.2555273133046192
BH,Asia-Pacific,8,0.3109554922682418,0.5443821987688735,0.2801832017342815,0.2004078003863732
BH,Asia-Pacific,9,0.35962199328704075,0.8578264777654899,0.4445941971124806,0.1865177838791903
BH,Asia-Pacific,10,0.39978113910461033,1.1118600451589713,0.5773084537697308,0.19762380945980446
BH,Asia-Pacific,11,0.4288443713314668,1.2730365420428522,0.6612634370528312,0.21506143209783096
BH,Asia-Pacific,12,0.45845671067613514,1.3451031498121697,0.6986929792728294,0.22742809567863306
BH,Asia-Pacific,13,0.4851538601007153,1.3074986257008498,0.6788390870642492,0.234504289500033
BH,Asia-Pacific,14,0.5062799537006881,1.1692776163118808,0.6063794307733693,0.2388940743059299
BH,Asia-Pacific,15,0.5139882215150418,0.9327002358335916,0.48264803071257184,0.23427765381779417
BH,Asia-Pacific,16,0.5117338046118175,0.6260022754314165,0.32234614727885624,0.22397946888154338
BH,Asia-Pacific,17,0.49559526964076167,0.30306773058029723,0.1538244307883511,0.20197399813806463
BH,Asia-Pacific,18,0.4985131894686461,0.08321837942946428,0.03842946884144039,0.21495495280881202
BH,Asia-Pacific,19,0.5272204253959039,0.013658953764045962,0.0016259470972662105,0.2313333735131544
BH,Asia-Pacific,20,0.5382600713748135,0.010158856044009729,0.0,0.22269601416734047
BH,Asia-Pacific,21,0.5492770008557156,0.010350859011334076,0.0,0.22690498172689622
BH,Asia-Pacific,22,0.5484650121142122,0.010146473783902349,0.0,0.2224245780961577
BH,Asia-Pacific,23,0.5183616627795756,0.010073351959178878,0.0,0.22082164772250001
BI,Africa/MENA,0,0.2541049111615083,0.0,0.0,0.025168959402451754
BI,Africa/MENA,1,0.19227476323089573,0.0,0.0,0.023238465455235814
BI,Africa/MENA,2,0.1464700438752175,0.0,0.0,0.020682158209685823
BI,Africa/MENA,3,0.12101057297257255,0.0,0.0,0.020366289061749848
BI,Africa/MENA,4,0.12519564187026266,0.0,0.0,0.017994931939344812
BI,Africa/MENA,5,0.16251899880566725,0.0,0.0,0.021303183099674914
BI,Africa/MENA,6,0.24852849463263044,0.0015279663968204844,0.0009290152911434436,0.021562693197003133
BI,Africa/MENA,7,0.3469504688395442,0.11214506955093755,0.06818506261391706,0.02635152272810893
