country,power_scope,workload_scenario,scenario,year,np_pv_mw,np_wind_mw,gen_busbar_mwh,tx_p95_mwkm,tx_np_mwkm,tx_p95_mw,tx_np_mw,foreign_energy_share,mean_import_km,max_import_km,n_corridors,uncovered_share,unmet_mwh_ob1,emax_mwh_ob1,ppeak_mw_ob1,ob_star,unmet_mwh_ob,emax_mwh_ob,ppeak_mw_ob,unmet_mwh_15,emax_mwh_15,ppeak_mw_15,unmet_mwh_20,emax_mwh_20,ppeak_mw_20,perturbation,region,continent
AE,L0,W0,L0_W0,2025,0.0,513.9133345554804,876000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5096744818182373,446474.8460727758,1489.9702676707966,147.08252448294598,1.1,440657.21424230817,1466.9227926772146,147.22038853659097,423997.14846782957,1406.9060647222068,147.3011074190859,412082.1419390334,1364.5659261989872,147.5069732288899,P_mix,Asia-Pacific,Asia
AE,L0,W1,L0_W1,2025,0.0,513.9133345554806,876000.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4845119158489786,424432.43828370527,1413.8283176818077,140.30586488445013,1.1,418249.18649070297,1394.9648638980434,140.6094869014203,402776.256949239,1337.0201100582926,140.69432815744358,391969.15088459325,1297.8324574289422,140.87092390538137,P_mix,Asia-Pacific,Asia
AE,L0,W2,L0_W2,2025,0.0,513.9133345554804,876000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.42832432798521763,375212.11131505057,1260.0121276127174,123.51147599147481,1.1,366483.537240374,1225.9643141105887,123.58213721278324,350794.1355158847,1157.946288953362,124.1746472393657,342253.7581891398,1127.5017559666157,124.35810772911488,P_mix,Asia-Pacific,Asia
AE,L0,W3,L0_W3,2025,0.0,513.9133345554804,876000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3274325288566205,286830.89527839964,970.5011426580895,86.63182077070834,1.1,273594.4353407061,920.139377949026,86.6563650904242,239642.09445578913,791.9499544493301,87.4727015644752,234927.25252127345,780.6055304180481,87.55919790406116,P_mix,Asia-Pacific,Asia
AE,L1,W0,L1_W0,2025,125.26261846518707,273.22371343197426,920754.3792519266,320287.19732278545,437380.65254171425,251.94066532909852,348.17070578976177,0.9020931687812286,959.590301584667,1487.705775917667,6,0.1966042646785116,172225.33585837617,1356.5003276899688,98.78083229253463,1.1,142598.33077576404,1199.2699734452854,97.0145031173315,74378.5368113378,859.770277968932,91.73972583053482,38372.849031403566,684.582516889509,86.19893548330624,P_mix,Asia-Pacific,Asia
AE,L1,W1,L1_W1,2025,126.18656588402499,273.75194613827415,920754.8559292215,321510.3930483578,439309.1403289748,253.21122837736948,349.8004454898728,0.9024386736806623,959.0976966684295,1487.705775917667,6,0.17392041845233483,152354.28656424533,1576.8313702301061,90.69012751963207,1.1,122028.23191407183,1043.9435067964769,92.0732837787496,63518.31951849251,800.1268866090224,86.30433056426669,32457.33287519415,651.970423310114,81.51194620271691,P_mix,Asia-Pacific,Asia
AE,L1,W2,L1_W2,2025,130.37259198268788,274.1057988984994,920836.475573827,325480.6300232085,447204.2810586122,257.070806844004,356.2887477768815,0.9062300199974606,956.0698371691491,1487.705775917667,6,0.14070260814997268,123255.48473937606,1223.9322135267305,68.80424734492539,1.1,83665.87076216712,838.047664565437,66.92519584398511,37930.422566314905,575.2679973823456,71.1935339310102,19211.490120995248,470.42877709849705,68.78182003238099,P_mix,Asia-Pacific,Asia
AE,L1,W3,L1_W3,2025,138.1089909016223,272.69674197548613,921086.2751503547,332400.7961073938,460568.70756243996,263.5232524589152,367.30447053982823,0.9153529215681715,950.4367318177901,1487.705775917667,6,0.11707893897601744,102561.15054299126,935.900843421909,33.51569951208586,1.1,58185.91447090608,408.4419120521539,26.23768845868808,7842.606922091626,255.2389619659309,40.52088949279712,3550.01542951426,204.58593035641482,37.89563217881761,P_mix,Asia-Pacific,Asia
AE,L2,W0,L2_W0,2025,112.28727065950926,340.0003803203762,967197.0155962511,786372.3460555398,1178896.1668697323,287.3970751493634,426.7410524862797,0.9502900649275776,2103.655121031925,2963.0849084215897,17,0.1444997676148355,126581.79643059587,774.3479800327168,69.69070323000244,1.1,92017.92080455151,567.6418715308586,66.13808324241319,25209.57981549162,266.53812861020543,55.2277143291753,5344.805304444733,163.35383336603894,48.976734397284666,P_mix,Asia-Pacific,Asia
AE,L2,W1,L2_W1,2025,114.79532748132144,340.43901016946916,967269.7332724003,790727.7449394559,1188036.959152981,289.0435056171768,430.1230611233532,0.95113713764762,2103.351036106152,2963.0849084215897,16,0.12351163094924227,108196.18871153623,710.2191925669323,61.96255213190023,1.1,73261.285823637,428.30018551032106,61.389247505235325,19177.397748474985,230.95864713201868,51.651407960896535,3946.004378237378,151.27015539517163,46.597695775202936,P_mix,Asia-Pacific,Asia
